diagram,size,alternatives,xheight,colours,text
p512x2,600,750 900 1200 1500,,BORDER -------- RED BACKGROUND --- WHITE SYMBOL ------ BLACK 600 (750) (900) (1200) (1500) - 242 A 115 VARIANT I 20 654 | OG | 25 . A . .,"Drawing No. Related Drawing © CROWN COPYRIGHT P 512.2|_P 500 “ene; ; ¢ NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border —----—-— RED Background ——— WHITE Symbol —----— BLACK 600 (750) (900) (1200) (1500) — 242 a 115 VARIANT I 20 654 | og | 25 . A . . Before using this drawing, confirm P512x2 that it has not been superseded. Title: i i Issue: Date: | Drawn by: Dimensions: Drawing No. Warning Sign ye 9g Department for A: 21.6.94 S.P. Transport | junction on BEND AHEAD | 8 17504] apres wy:] mumerres| P 519 9 Cc: R.M. "
p512x3,600,750 900 1200 1500,,"BORDER --~----- RED BACKGROUND ---- WHITE \ SYMBOL ------- BLACK 600 5 © (750) OH . ~~ 20 (900) OE (1200) > \ V (1500) SO 242 55 I 20 _| VARIANT R-65--4 --94 25 : : . ,","Drawing No. Related Drawing P 512.3 |P 500, P 512.1, P 512.2 ¢ © CROWN COPYRIGHT NOTES 1. Other dimensions for the triangle and enclosed symbol are shown in P 500, P 512.1 and P 512.2. I 2. All 600mm sign dimensions shall be varied proportionally for the other triangle \ heights. 3. COLOURS: Border -—~----— RED Background —-—— WHITE \ Symbol —-----— BLACK 600 5 © (750) oh . ~~ 20 (900) oe (1200) > \ v (1500) So 242 55 I 20 _| VARIANT r-65-—4 -—94 25 : : . , Before using this drawing, confirm P512x3 that it has not been superseded. Title: j i Issue: Date: Drawn by : Dimensions : | Drawing No. Warning Sign y 9g Department for At Ante AK B: Approved by:| MILLIMETRES Pp 51 2. 3 Transport CROSSROADS ON BEND AHEAD Cc: J.B. "
p513,600,750 900 1200 1500,,BACKGROUND --- WHITE SYMBOL ------ BLACK 4. THE SYMBOL MAY BE REVERSED. 600 (750) (900) (1200) ; P BE (1500) R- 270 140 | | )} 20 60 [35| 75 60 MT 250,"Drawing No. Related Drawing P 513 | P 900 © CROWN COPYRIGHT NOTES: — 1. Other dimensions for the triangle are shown on P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Background ——— WHITE Symbol —----— BLACK 4. The symbol may be reversed. 600 (750) (900) (1200) ; P Be (1500) r- 270 140 | | )} 20 60 [35| 75 60 mT 250 Before using this drawing, confirm P513 that it has not been superseded. Department for Title: Warning Sign Issue: Date: | Drawn by: Dimensions: Drawing No. DOUBLE BEND OR SERIES need Danae ALL IN Transport OF BENDS AHEAD ge Bireel amos! wunerres| POTS "
p516,600,750 900 1200 1500,,BORDER ------ RED BACKGROUND --- WHITE SYMBOL ------ BLACK 310 200,"Drawing No. P 516 Related Drawing P 500 600 (750) (900) (1200) (1500) © CROWN COPYRIGHT NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 45| 55 | 55 | 45 3. COLOURS : Border —----— RED Background ——— WHITE Symbol -----— BLACK 310 200 Before using this drawing, confirm P516 that it has not been superseded. Department for itle Warning Sign ‘ssue seacs Prewn ad Dimensions Drawing No. Transport ROAD NARROWS ON a: 96.08 approved sy:| muLMeTRES| =P 516 BOTH SIDES AHEAD Cc: R.M. "
p517,600,750 900 1200 1500,,BORDER -------- RED BACKGROUND --- WHITE SYMBOL ------ BLACK 600 (750) (900) (1200) (1500) 310 VARIANT 45 55 | 45 15,"Drawing No. Related Drawing P 517 |_P 500 © CROWN COPYRIGHT ¢ NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border —----—-— RED Background ——— WHITE Symbol -----— BLACK 600 (750) (900) (1200) (1500) 310 VARIANT 45 55 | 45 15 Before using this drawing, confirm P517 160 that it hos not been “superseded. Department for itle Warning Sign issue nace row .” Dimensions Drawing No. Transport ROAD NARROWS ON 8: 106.04 | Approves by:| miuinerRes| §= P51 7 ONE SIDE AHEAD c: RM. "
p520,600,750 900 1200 1500,,BORDER -------- RED BACKGROUND --- WHITE SYMBOL ------ BLACK 600 (750) 170 (900) (1200) INSIDE 40 350 (1500) RADII 40 140 20,"Drawing No. Related Drawing © CROWN COPYRIGHT P 520 | P 500 ¢ NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border —----—-— RED Background ——— WHITE Symbol -----— BLACK 600 (750) 170 (900) (1200) inside 40 350 (1500) radii 40 140 20 Before using this drawing, confirm P520 that it has not been superseded. Title: . . Issue: Date: | Drawn by: Dimensions: Drawing No. Department for Warning Sign AD 226.94 SP. Transport B: 10.6.04 | Approved by:| MILLIMETRES P 5K ? O DUAL CARRIAGEWAY ENDS AHEAD Cc: R.M. "
p521,600,750 900 1200,,BORDER RED BACKGROUND --- WHITE ARROWS -----~- BLACK 600 (750) (900) (1200) ARROW (1 500) DETAILS 245 50 50 F100 | -| 42 + 80-+,"Drawing No. Related Drawing © CROWN COPYRIGHT P 521 | P 800 ¢ NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. . All 600mm sign dimensions shall be varied proportionally for the other triangle heights. . COLOURS : Border RED Background ——— WHITE Arrows —-—-—~— BLACK 600 (750) (900) (1200) ARROW (1 500) DETAILS 245 50 50 F100 | —| 42 + 80-+ Before using this drawing, confirm P521 that it has not been superseded. Title: . . Issue: Date: | Drawn by: Dimensions: Drawing No. Transport Warning Sign A: 22.6.94 SP. p 524 _ B: 11.6.04 | Approved by:| MILLIMETRES P TWO-WAY TRAFFIC 8: oved "
p522,600,750 900 1200,,BORDER --------- RED BACKGROUND --- WHITE ARROWS -----~- BLACK 600 (750) (900) ARROW DETAILS (1200) LL 100 ------ 0 ILL 50 | 50 245 204 141 P522 DEPARTMENT FOR TITLE: WARNING SIGN ISSUE: DATE: | DRAWN,Drawing No. Related Drawing © CROWN COPYRIGHT P 522| P 500 ¢ NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border -—--—-—-— RED Background ——— WHITE Arrows —-—-—~— BLACK 600 (750) (900) ARROW DETAILS (1200) ll 100 -——-—- 0 Ill 50 | 50 245 204 141 P522 Department for Title: Warning Sign Issue: Date: | Drawn by: Dimensions: Drawing No. A: 22.6.94 S.P. Transport TWO-WAY TRAFFIC B: 146.04 | Approved by:| MILLIMETRES PS) 522 ON ROUTE CROSSING AHEAD c: RM. 
p523x1,,,x,BORDER BACKGROUND LEGEND & SYMBOL --- BLACK © CROWN COPYRIGHT OTHER DIMENSIONS FOR THE TRIANGLE ARE SHOWN ON DRAWING P 500. THE OTHER TRIANGLE HEIGHTS. BAE P523X1 . THE LEGEND IS FROM THE TRANSP,"Drawing No. Related Drawing P 523.1 |_P 500 NOTES: — 1. . COLOURS : Border Background Legend & Symbol ——— BLACK © CROWN COPYRIGHT Other dimensions for the triangle are shown on drawing P 500. the other triangle heights. Bae P523x1 . The legend is from the Transport Heavy alphabet at the x—height shown. . The tile outlines do not form part of the sign. . All 600mm sign dimensions shall be varied proportionally for Before using this drawing, confirm that it has not been superseded. Department for Transport Title: STEEP Warning Sign HILL DOWNWARDS: AHEAD Issue: A: B: Cc: Date: 22.6.94 15.06.04 Drawn by: S.P. Approved by: R.M. Dimensions: MILLIMETRES Drawing No. P 3523.1 "
p524x1,600,750 900 1200 1500,,BORDER ----------- RED BACKGROUND --------- WHITE. LEGEND & SYMBOL --- BLACK,"Drawing No. Related Drawing P 524.1 | P 00 600 (750) (900) (1200) (1500) Yh P524x1 NOTES: — 1. © CROWN COPYRIGHT Other dimensions for the triangle are shown on drawing P 500. The legend is from the Transport Heavy alphabet at the x—height shown. The tile outlines do not form part of the sign. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. COLOURS : Border -----—----— RED Background ---—-—-—— WHITE. Legend & Symbol ——— BLACK Before using this drawing, confirm that it has not been superseded. Department for Transport Title: STEEP Warning Sign HILL UPWARDS AHEAD Issue: A: B: Cc: Date: 22.6.94 16.6.04 Drawn by: S.P. R.M. Dimensions: Drawing No. Approved by:| MILLIMETRES P 5K ? 4. ‘ "
p528,600,750 900 1200,,BORDER BACKGROUND --- WHITE SYMBOL ------ BLACK 600 (750) (900) (1200) _ | 145 80 40,"Drawing No. Related Drawing P 500 P 528 ¢ © CROWN COPYRIGHT NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border Background ——— WHITE Symbol -----— BLACK 600 (750) (900) (1200) _ | 145 80 40 Before using this drawing, confirm P528 that it has not been superseded. Title: . . Issue: Date: | Drawn by: Dimensions: Drawing No. Department for Warning Sign A: 296.94 SP. Transport HUMP BRIDGE AHEAD 8: 258.04] Approved by:/ MILLIMETRES | P28 Cc: R.M. "
p529,600,750 900 1200 1500,,BORDER -------- RED BACKGROUND --- WHITE SYMBOL ------ BLACK 600 (750) (900) (1200) (1500) __CTRS 30} CTRS 95 30 | CTRS 30 | CTRS 20) 51 VK A | 7 9 100 270 | 100 |,"Drawing No. Related Drawing © CROWN COPYRIGHT P 529 | P 500 ¢ NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border —----—-— RED Background ——— WHITE Symbol —----— BLACK 600 (750) (900) (1200) (1500) __ctrs 30} ctrs 95 30 | ctrs 30 | ctrs 20) 51 VK a | 7 9 100 270 | 100 | Before using this drawing, confirm P529 that it has not been superseded. Department for itle Warning Sign ‘seve nace row .” Dimensions Drawing No. Ti B: 23.6.04 :| MILLIMETRES ransport OPENING OR SWING BRIDGE AHEAD | ¢. “pprewee Oy: P 529 "
p529x1,600,750 900 1200 1500,,BORDER NS RED BACKGROUND --- WHITE -------- SYMBOL BLACK 600 (750) (900) (1200) (1500) 240 EE 20 280 P529X1,"Drawing No. Related Drawings P 500 & S 35 (C) CROWN COPYRIGHT P 9529.1 NOTES: — 1. Other dimensions for the triangle are shown on drawing P 500. Symbol details are given on drawing S 35. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. COLOURS : Border ns RED Background ——— WHITE —--—-—-— Symbol BLACK 600 (750) (900) (1200) (1500) 240 ee 20 280 P529x1 Before using this drawing, confirm that it has not been superseded. Title: Issue: Date: Drawn by: Dimensions: Drawing No. Department for Warning Sign A 22.6.94 S.P. B 23.6.04 | Approved by: MILLIMETRES P O29.1 ransport TUNNEL AHEAD Cc R.M. "
p544x1,600,750 900 1200,,BORDER BACKGROUND --- WHITE SYMBOL ------ BLACK 600 (750) (900) (1200) 264 7) _ 20,"Drawing No. Related Drawings P 544.1|P 500 & S 3 © CROWN COPYRIGHT € NOTES:— 1. Other dimensions for the triangle are shown | on P 500. 2. Symbol details are given on drawing S 3. 3. The tile outline does not form part of the sign. 4. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 5. COLOURS : Border Background ——— WHITE Symbol —----— BLACK 600 (750) (900) (1200) 264 7) _ 20 Before using this drawing, confirm P544x1 that it has not been superseded. Title: Warning Sign Issue: Date: | Drawn by: Dimensions: Drawing No. Department for A: 226.94] SP. Transport PEDESTRIANS IN ROAD AHEAD | 8 1:11.02] Approved by:| MILLIMETRES} [P HAA 4 Cc: R.M. "
p544x2,600,750 900 1200,,"BORDER ------- RED BACKGROUND --- WHITE SYMBOL ------ BLACK 294 | | L-T14 Y _ 20 I 273 NG THI , .","Drawing No. Related Drawings P 544.2 P 500 & S 4 600 (750) (900) (1200) NOTES: — 1. 2. 3. 4. © CROWN COPYRIGHT Other dimensions for the triangle are shown on P 500. Symbol details are given on drawing S 4. The tile outline does not form part of the sign. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. COLOURS : Border ------— RED Background ——— WHITE Symbol ------ BLACK 294 | | L-t14 y _ 20 I 273 ng thi , . Before using this drawing, confirm P544x2 that it has not been superseded. Department for itle Warning Sign issue oa es Prown ey Dimensions Drawing No. FRAIL DISABLED PEDESTRIANS : _ -* Transport or 8: 1311.02 Approved by:| wituimetres | P 544.9 LIKELY TO CROSS ROAD AHEAD Cc: R.M. "
p545,600,750 900 1200,,BORDER --------- RED BACKGROUND ---- WHITE SYMBOL ------ BLACK 600 T (750) (900) (1200) 280 _ 20 148 ; 336,"Drawing No. Related Drawings © CROWN COPYRIGHT P 545{[P 500 & S5 ¢ NOTES:— 1. Other dimensions for the triangle are shown on P 500. . Symbol details are given on drawing S 5. . The tile outline does not form part of the sign. . All 600mm sign dimensions shall be varied proportionally for the other triangle heights. . COLOURS : Border —--—--—-— RED Background —-—— WHITE Symbol -----— BLACK 600 T (750) (900) (1200) 280 _ 20 148 ; 336 Before using this drawing, confirm P545 that it has not been superseded. Title: Warning Sign Issue: Date: | Drawn by: Dimensions: Drawing No. Department for CHILDREN At opeeal SP. Transport 5: 131102| approves oy:| MILLINETRES| PP 5 AS (going to or from school or playground ahead)| c¢: 18.216 RM. "
p950,600,750 900 1200 1500,,BORDER -_-------- RED BACKGROUND --- WHITE ------- BLACK SYMBOL 600 (750) (900) (1200) (1500) 220 SEY 20 | 574 |,"Drawing No. Related Drawings (©) CROWN COPYRIGHT P 950 P 500 & S 24 NOTES: — 1. Other dimensions for the triangle are shown on drawing P 500. Symbol details are given on drawing S 24. The tile outline does not form part of the sign. All 600mm _ sign dimensions shall be varied proportionally for the other triangle heights. COLOURS : Border —_--—-———— RED Background ——— WHITE —-————— BLACK Symbol 600 (750) (900) (1200) (1500) 220 Sey 20 | 574 | Before using this drawing, confirm P950 that it has not been superseded. Title: Issue: Date: Dimensions: Warning Sign Drawn by: Drawing No. Department for 6.7.94 S.P. MILLIMETRES CYCLE ROUTE AHEAD 4.8.04 | Approved by: P 90 Transport R.M. "
p548,600,750 900 1200 1500,,BORDER ------ 1 BACKGROUND SYMBOL ------- 1 600 (750) (900) (1200) -- (1500) 195 ~___ 20 1 | | |. 450 I 312,"Drawing No. Related Drawings © CROWN COPYRIGHT P 548 |P 500 & S 10 ¢ NOTES: — 1. Other dimensions for the triangle are shown on drawing P 500. i 2. Symbol details are given on drawing S 10. 3. The tile outline does not form part of the sign. 1 4. All 600mm sign dimensions shall be varied proportionally ' for the other triangle heights. 5. COLOURS : Border -----— 1 Background Symbol —-—-—-— 1 600 (750) (900) (1200) —— (1500) 195 ~___ 20 1 | | |. 450 i 312 Before using this drawing, confirm P548 that it has not been superseded. Department for Title: Warning Sign Issue: Date: | Drawn by: Dimensions: Drawing No. CATTLE A: 22.6.94 S.P. ransport | | 5: 2560+ appro oy:| MIUMETRES| =P 548 likely to be in road ahead c: RM. "
p549,600,750 900 1200 1500,,BORDER ------ 1 BACKGROUND SYMBOL ------- 1 600 (750) (900) _ (1200) (1500) 222 20) 1 | 296,"Drawing No. Related Drawings © CROWN COPYRIGHT P 549 |P 500 & S11 ¢ NOTES: — 1. Other dimensions for the triangle are shown on drawing P 500. ' 2. Symbol details are given on drawing S 11. 3. The tile outline does not form part of the sign. 4. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 5. COLOURS : Border -----— 1 Background Symbol —-----— 1 600 (750) (900) _ (1200) (1500) 222 20) 1 | 296 Before using this drawing, confirm P549 that it has not been superseded. Title: Warning Sign Issue: Date: | Drawn by: Dimensions: Drawing No. Department for Transport SHEEP : 2560+ approws vy:| MuuMeTRES| =P 5AQ likely to be in road ahead c: RM. "
p550,600,750 900 1200 1500,,BORDER ------ 1 BACKGROUND SYMBOL -------- 1 600 (750) (900) (1200) (1500) 228 ~___ 20 1 | I=- 130 304,"Drawing No. Related Drawings © CROWN COPYRIGHT P 559 |P 500 & S 9 ¢ NOTES: — 1. Other dimensions for the triangle are shown on drawing P 500. i 2. Symbol details are given on drawing S 9. 3. The tile outline does not form part of the sign. 1 4. All 600mm sign dimensions shall be varied proportionally ' for the other triangle heights. 5. COLOURS : Border -----— 1 Background Symbol —----—-— 1 600 (750) (900) (1200) (1500) 228 ~___ 20 1 | I=— 130 304 Before using this drawing, confirm P550 that it has not been superseded. Department for Title: Warning Sign issues nace row ay Dimensions: Drawing No. Transport WILD HORSES or PONIES 8: 256.04 | Approved by: | MILLIMETRES Pp 550 likely to be in road ahead c: RM. "
p550x1,600,750 900 1200 1500,,BORDER ------- RED BACKGROUND --- WHITE SYMBOL NS BLACK 600 OY RY A IRA REE WT (750) (900) (1200) (1500) 266 SEE EEE EE EEE MEEE EEE DEE EEE - 20 K- 118-4 504,"Drawing No. Related Drawings (©) CROWN COPYRIGHT P 550.1 P 500 & S 3 NOTES: — 1. Other dimensions for the triangle are shown on P 500 2 Symbol details are given on drawing S 8. 3 The tile outline does not form part of the sign. 4 All 600mm _ sign dimensions shall be varied proportionally for the other triangle heights. COLOURS : Border —-————— RED Background ——— WHITE Symbol ns BLACK 600 Oy ry A ira ree Wt (750) (900) (1200) (1500) 266 see eee ee eee Meee eee Dee eee — 20 K- 118-4 504 Before using this drawing, confirm P550x1 that it has not been superseded. Title: Warning Sign Issue: Date: Drawn by: Dimensions: Drawing No. Department for A 27.6.94 S.P. ACCOMPANIED HORSES or PONIES MILLIMETRES B 13.11.02 | Approved by: P 990.1 ransport likel to be in or crossing road ahead Cc R.M. "
p550x2,600,750 900 1200,,BORDER ------ RED BACKGROUND --- WHITE SYMBOL ------ BLACK 208 20 20 384,"Drawing No. Related Drawings P 550.2 P 500 & S 15 sheet 2 600 (750) (900) (1200) NOTES: — 1. © CROWN COPYRIGHT Other dimensions for the triangle are shown on P 500. 2. Symbol details are given on drawing S 15 sheet 2. Yh | 3. The tile outline does not form part of the sign. 4. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 5. COLOURS : Border —----— RED Background ——— WHITE Symbol ------ BLACK 208 20 20 384 Before using this drawing, confirm P550x2 that it has not been superseded. Department for Title: Warning Sign Issue: Date: | Drawn by: Dimensions: Drawing No. HORSE DRAWN VEHICLES Ar Teton) RM B: rr :| MILLIMETRES Transport LIKELY TO BE IN ROAD AHEAD | ¢;: aed P 9550.2 "
