code,name,family,file,size,notes
AUFKLEBER-E-FAHRZEUG-FREI,"Aufkleber ""elektrisch betriebene Fahrzeuge frei",Sinnbilder und Symbole (pictograms),AUFKLEBER_ELEKTRISCH_BETRIEBENE_FAHRZEUGE_FREI_AUFKLEBER-E-FAHRZEUG-FREI.svg,100x75 mm,"Vz2017: Vz2017/Aufkleber E-Fahrzeuge frei/Aufkleber-E-Fahrzeug-frei.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 10 x 7.5 cm; name from DVK comment; drawn on its white symbol field as BASt supplies it"
AUFKLEBER-CARSHARING-FREI,"Aufkleber ""Carsharingfahrzeuge frei",Sinnbilder und Symbole (pictograms),AUFKLEBER_CARSHARINGFAHRZEUGE_FREI_AUFKLEBER-CARSHARING-FREI.svg,100x100 mm,"Vz2017: Vz2017/Aufkleber-Carsharingfahrzeuge-frei/Aufkleber-Carsharing-frei.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 10 x 10 cm; name from DVK comment; drawn on its white symbol field as BASt supplies it"
1022-16,Elektrokleinstfahrzeuge frei,Zusatzzeichen (supplementary plates),ELEKTROKLEINSTFAHRZEUGE_FREI_1022-16.svg,600x600 mm,"Vz2017: Vz2017/EkFz-Frei/1022-16.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
SB-LASTENFAHRRAD,Lastenfahrrad,Sinnbilder und Symbole (pictograms),LASTENFAHRRAD_SB-LASTENFAHRRAD.svg,465x200 mm,"Vz2017: Vz2017/Lastenfahrrad/Sinnbild-Lastenfahrrad.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 46.5 x 20 cm; name from DVK comment"
SB-MEHRFACHBESETZTE-PERSONENKRAFT,"Mehrfachbesetzte Personenkraftwagen; Personenkraftwagen oder Krafträder mit Beiwagen, die mit mindestens drei Personen besetzt sind",Sinnbilder und Symbole (pictograms),MEHRFACHBESETZTE_PERSONENKRAFTWAGEN_PERSONENKRAFTWAGEN_ODER_KRAFTRAEDE_SB-MEHRFACHBESETZTE-PERSONENKRAFT.svg,300x228 mm,"Vz2017: Vz2017/Mehrfachbesetzte-PKW/Sinnbild-Mehrfachbesetzte Personenkraftwagen.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 30 x 22.85 cm; name from DVK comment"
PLAKETTE-CARSHARING,Carsharing-Plakette (mit Hologramm),Sinnbilder und Symbole (pictograms),CARSHARING_PLAKETTE_MIT_HOLOGRAMM_PLAKETTE-CARSHARING.svg,80x80 mm,Vz2017: Vz2017/Plakette-Carsharing/PLAKETTE-CARSHARING-Hologramm.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm); name from file name; 3 embedded raster image(s) in the EPS not carried (vector fills only)
SB-CARSHARING,Carsharing,Sinnbilder und Symbole (pictograms),CARSHARING_SB-CARSHARING.svg,150x150 mm,"Vz2017: Vz2017/Sinnbild-Carsharing/Sinnbild-Carsharing.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 15 x 15 cm; name from DVK comment"
SB-EKFZ,Elektrokleinstfahrzeuge im Sinne der Elektrokleinstfahrzeuge-Verordnung,Sinnbilder und Symbole (pictograms),ELEKTROKLEINSTFAHRZEUGE_IM_SINNE_DER_ELEKTROKLEINSTFAHRZEUGE_VERORDNUN_SB-EKFZ.svg,439x339 mm,"Vz2017: Vz2017/Sinnbildf-eKF/Sinnbild-eKFZ.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from DVK comment"
SB-WOHNMOBIL,Wohnmobil,Sinnbilder und Symbole (pictograms),WOHNMOBIL_SB-WOHNMOBIL.svg,173x100 mm,"Vz2017: Vz2017/Wohnmobil/Sinnbild-Wohnmobil.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 17.333 x 10 cm; name from DVK comment"
1010-68,Elektrokleinstfahrzeug im Sinne der Elektrokleinstfahrzeuge-Verordnung (eKFV),Zusatzzeichen (supplementary plates),ELEKTROKLEINSTFAHRZEUG_IM_SINNE_DER_ELEKTROKLEINSTFAHRZEUGE_VERORDNUNG_1010-68.svg,600x450 mm,"Vz2017: Vz2017/Z-1010-68/1010-68.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 45 cm; name from official list"
1010-69,Fahrrad zum Transport von Gütern oder Personen – Lastenfahrrad,Zusatzzeichen (supplementary plates),FAHRRAD_ZUM_TRANSPORT_VON_GUETERN_ODER_PERSONEN_LASTENFAHRRAD_1010-69.svg,600x330 mm,"Vz2017: Vz2017/Z-1010-69/Zz-1010-69 Lastenfahrrad.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
1010-70,Carsharing,Zusatzzeichen (supplementary plates),CARSHARING_1010-70.svg,600x600 mm,"Vz2017: Vz2017/Z-1010-70/Zz-1010-70 Carsharing.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
1010-71,"Personenkraftwagen oder Krafträder mit Beiwagen, die mit mindestens drei Personen besetzt sind – mehrfachbesetzte Personenkraftwagen",Zusatzzeichen (supplementary plates),PERSONENKRAFTWAGEN_ODER_KRAFTRAEDER_MIT_BEIWAGEN_DIE_MIT_MINDESTENS_DR_1010-71.svg,600x330 mm,"Vz2017: Vz2017/Z-1010-71/1010-71.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
1010-72,"Krafträder, auch mit Beiwagen, Kleinkrafträder und Mopeds und Kraftwagen und sonstige mehrspurige Fahrzeuge",Zusatzzeichen (supplementary plates),KRAFTRAEDER_AUCH_MIT_BEIWAGEN_KLEINKRAFTRAEDER_UND_MOPEDS_UND_KRAFTWAG_1010-72.svg,600x600 mm,"Vz2017: Vz2017/Z-1010-72/1010-72.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
1012-54,Seniorenheim,Zusatzzeichen (supplementary plates),SENIORENHEIM_1012-54.svg,600x330 mm,"Vz2017: Vz2017/Z-1012-54/1012-54.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
1022-17,Fahrräder zum Transport von Gütern oder Personen – Lastenfahrräder - frei,Zusatzzeichen (supplementary plates),FAHRRAEDER_ZUM_TRANSPORT_VON_GUETERN_ODER_PERSONEN_LASTENFAHRRAEDER_FR_1022-17.svg,600x450 mm,"Vz2017: Vz2017/Z-1022-17/1022-17.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 45 cm; name from official list"
1024-21,Carsharingfahrzeuge frei,Zusatzzeichen (supplementary plates),CARSHARINGFAHRZEUGE_FREI_1024-21.svg,600x600 mm,"Vz2017: Vz2017/Z-1024-21/ZZ-1024-21.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
1053-54,Während des Ladevorgangs,Zusatzzeichen (supplementary plates),WAEHREND_DES_LADEVORGANGS_1053-54.svg,600x330 mm,"Vz2017: Vz2017/Z-1053-54/1053-54.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
230-10,Ladebereich - Anfang - Aufstellung rechts,Vorschriftzeichen (regulatory),LADEBEREICH_ANFANG_AUFSTELLUNG_RECHTS_230-10.svg,600x900 mm,"Vz2017: Vz2017/Z-230/230-10.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
230-11,Ladebereich - Ende - Aufstellung links,Vorschriftzeichen (regulatory),LADEBEREICH_ENDE_AUFSTELLUNG_LINKS_230-11.svg,600x900 mm,"Vz2017: Vz2017/Z-230/230-11.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
230-20,Ladebereich - Ende - Aufstellung rechts,Vorschriftzeichen (regulatory),LADEBEREICH_ENDE_AUFSTELLUNG_RECHTS_230-20.svg,600x900 mm,"Vz2017: Vz2017/Z-230/230-20.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
230-21,Ladebereich - Anfang - Aufstellung links,Vorschriftzeichen (regulatory),LADEBEREICH_ANFANG_AUFSTELLUNG_LINKS_230-21.svg,600x900 mm,"Vz2017: Vz2017/Z-230/230-21.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
230-30,Ladebereich - Mitte - Aufstellung rechts,Vorschriftzeichen (regulatory),LADEBEREICH_MITTE_AUFSTELLUNG_RECHTS_230-30.svg,600x900 mm,"Vz2017: Vz2017/Z-230/230-30.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
230-31,Ladebereich - Mitte - Aufstellung links,Vorschriftzeichen (regulatory),LADEBEREICH_MITTE_AUFSTELLUNG_LINKS_230-31.svg,600x900 mm,"Vz2017: Vz2017/Z-230/230-31.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
230,Ladebereich,Vorschriftzeichen (regulatory),LADEBEREICH_230.svg,600x900 mm,"Vz2017: Vz2017/Z-230/230.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
244.3,Beginn einer Fahrradzone,Vorschriftzeichen (regulatory),BEGINN_EINER_FAHRRADZONE_244.3.svg,600x600 mm,"Vz2017: Vz2017/Z-244.3/Z-244.3.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
244.4,Ende einer Fahrradzone,Vorschriftzeichen (regulatory),ENDE_EINER_FAHRRADZONE_244.4.svg,600x600 mm,"Vz2017: Vz2017/Z-244.4/Z-244.4.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
277.1,Verbot des Überholens von einspurigen Fahrzeugen für mehrspurige Kraftfahrzeuge und Krafträdern mit Beiwagen,Vorschriftzeichen (regulatory),VERBOT_DES_UEBERHOLENS_VON_EINSPURIGEN_FAHRZEUGEN_FUER_MEHRSPURIGE_KRA_277.1.svg,600x600 mm,"Vz2017: Vz2017/Z-277.1/Z.277.1.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
281.1,Ende des Verbots des Überholens von einspurigen Fahrzeugen für mehrspurige Kraftfahrzeuge und Krafträder mit Beiwagen,Vorschriftzeichen (regulatory),ENDE_DES_VERBOTS_DES_UEBERHOLENS_VON_EINSPURIGEN_FAHRZEUGEN_FUER_MEHRS_281.1.svg,600x600 mm,"Vz2017: Vz2017/Z-281.1/Z.281.1.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
314-31,Parken - Mitte (Aufstellung links),Richtzeichen (guide),PARKEN_MITTE_AUFSTELLUNG_LINKS_314-31.svg,600x600 mm,"Vz2017: Vz2017/Z-314-31/314-31.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
342,Haifischzähne,Richtzeichen (guide),HAIFISCHZAEHNE_342.svg,1001x500 mm,"Vz2017: Vz2017/Z-342/Z-342.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm); name from official list; 14 stroked path(s) outlined with Inkscape; catalogue illustration of the marking on a grey carriageway plan, not a sign face"
350.1,Radschnellweg,Richtzeichen (guide),RADSCHNELLWEG_350.1.svg,600x600 mm,"Vz2017: Vz2017/Z-350.1/Z-350.1.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
350.2,Ende des Radschnellwegs,Richtzeichen (guide),ENDE_DES_RADSCHNELLWEGS_350.2.svg,600x600 mm,"Vz2017: Vz2017/Z-350.2/Z-350.2.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
365-69,Tankstelle mit Flüssigerdgas,Richtzeichen (guide),TANKSTELLE_MIT_FLUESSIGERDGAS_365-69.svg,600x600 mm,"Vz2017: Vz2017/Z-365-69/365-69-LNG.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
365-70,Tankmöglichkeit verschiedene Kraftstoffarten,Richtzeichen (guide),TANKMOEGLICHKEIT_VERSCHIEDENE_KRAFTSTOFFARTEN_365-70.svg,750x600 mm,"Vz2017: Vz2017/Z-365-70/365-70-verschiedene Tanksorten.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 75 x 60 cm; name from official list"
365-71,Tankmöglichkeit alle Kraftstoffarten,Richtzeichen (guide),TANKMOEGLICHKEIT_ALLE_KRAFTSTOFFARTEN_365-71.svg,900x600 mm,"Vz2017: Vz2017/Z-365-71/365-71-alle Tanksorten.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 90 x 60 cm; name from official list"
442-14,"KFZ mit einer zulässigen Gesamtmasse über 3,5 t – im Kreisverkehr linksweisend",Richtzeichen (guide),KFZ_MIT_EINER_ZULAESSIGEN_GESAMTMASSE_UEBER_3_5_T_IM_KREISVERKEHR_LINK_442-14.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-14.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-15,Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - im Kreisverkehr linksweisend,Richtzeichen (guide),KENNZEICHNUNGSPFLICHTIGE_FAHRZEUGE_MIT_GEFAEHRLICHEN_GUETERN_IM_KREISV_442-15.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-15.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-16,Fahrzeuge mit wassergefährdender Ladung - im Kreisverkehr linksweisend,Richtzeichen (guide),FAHRZEUGE_MIT_WASSERGEFAEHRDENDER_LADUNG_IM_KREISVERKEHR_LINKSWEISEND_442-16.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-16.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-17,Radverkehr - im Kreisverkehr linksweisend,Richtzeichen (guide),RADVERKEHR_IM_KREISVERKEHR_LINKSWEISEND_442-17.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-17.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-24,"KFZ mit einer zulässigen Gesamtmasse über 3,5 t - im Kreisverkehr rechtsweisend",Richtzeichen (guide),KFZ_MIT_EINER_ZULAESSIGEN_GESAMTMASSE_UEBER_3_5_T_IM_KREISVERKEHR_RECH_442-24.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-24.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-25,Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - im Kreisverkehr rechtsweisend,Richtzeichen (guide),KENNZEICHNUNGSPFLICHTIGE_FAHRZEUGE_MIT_GEFAEHRLICHEN_GUETERN_IM_KREISV_442-25.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-25.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-26,Fahrzeuge mit wassergefährdender Ladung - im Kreisverkehr rechtsweisend,Richtzeichen (guide),FAHRZEUGE_MIT_WASSERGEFAEHRDENDER_LADUNG_IM_KREISVERKEHR_RECHTSWEISEND_442-26.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-26.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-27,Radverkehr - im Kreisverkehr rechtsweisend,Richtzeichen (guide),RADVERKEHR_IM_KREISVERKEHR_RECHTSWEISEND_442-27.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-27.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-30,"KFZ mit einer zulässigen Gesamtmasse über 3,5 t - im Kreisverkehr geradeausweisend",Richtzeichen (guide),KFZ_MIT_EINER_ZULAESSIGEN_GESAMTMASSE_UEBER_3_5_T_IM_KREISVERKEHR_GERA_442-30.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-30.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-31,Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - im Kreisverkehr geradeausweisend,Richtzeichen (guide),KENNZEICHNUNGSPFLICHTIGE_FAHRZEUGE_MIT_GEFAEHRLICHEN_GUETERN_IM_KREISV_442-31.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-31.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-32,Fahrzeuge mit wassergefährdender Ladung - im Kreisverkehr geradeausweisend,Richtzeichen (guide),FAHRZEUGE_MIT_WASSERGEFAEHRDENDER_LADUNG_IM_KREISVERKEHR_GERADEAUSWEIS_442-32.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-32.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
442-33,Radverkehr - im Kreisverkehr geradeausweisend,Richtzeichen (guide),RADVERKEHR_IM_KREISVERKEHR_GERADEAUSWEISEND_442-33.svg,600x900 mm,"Vz2017: Vz2017/Z-442/442-33.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
455.1-13,Ankündigung oder Fortsetzung der Umleitung - im Kreisverkehr links,Richtzeichen (guide),ANKUENDIGUNG_ODER_FORTSETZUNG_DER_UMLEITUNG_IM_KREISVERKEHR_LINKS_455.1-13.svg,600x900 mm,"Vz2017: Vz2017/Z-455.1/455.1-13.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
455.1-23,Ankündigung oder Fortsetzung der Umleitung - im Kreisverkehr rechts,Richtzeichen (guide),ANKUENDIGUNG_ODER_FORTSETZUNG_DER_UMLEITUNG_IM_KREISVERKEHR_RECHTS_455.1-23.svg,600x900 mm,"Vz2017: Vz2017/Z-455.1/455.1-23.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
455.1-31,Ankündigung oder Fortsetzung der Umleitung - im Kreisverkehr geradeaus,Richtzeichen (guide),ANKUENDIGUNG_ODER_FORTSETZUNG_DER_UMLEITUNG_IM_KREISVERKEHR_GERADEAUS_455.1-31.svg,600x900 mm,"Vz2017: Vz2017/Z-455.1/455.1-31.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
460-13,Bedarfsumleitung - im Kreisverkehr links,Richtzeichen (guide),BEDARFSUMLEITUNG_IM_KREISVERKEHR_LINKS_460-13.svg,600x900 mm,"Vz2017: Vz2017/Z-460/460-13.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
460-23,Bedarfsumleitung - im Kreisverkehr rechts,Richtzeichen (guide),BEDARFSUMLEITUNG_IM_KREISVERKEHR_RECHTS_460-23.svg,600x900 mm,"Vz2017: Vz2017/Z-460/460-23.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
460-31,Bedarfsumleitung - im Kreisverkehr geradeaus,Richtzeichen (guide),BEDARFSUMLEITUNG_IM_KREISVERKEHR_GERADEAUS_460-31.svg,600x900 mm,"Vz2017: Vz2017/Z-460/460-31.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 90 cm; name from official list"
721,Grünpfeilschild mit Beschränkung auf den Radverkehr,Verkehrseinrichtungen (traffic devices),GRUENPFEILSCHILD_MIT_BESCHRAENKUNG_AUF_DEN_RADVERKEHR_721.svg,315x420 mm,"Vz2017: Vz2017/Z-721/721.EPS; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 31.5 x 42 cm; name from official list"
501-19,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach links übergeleitet und die drei rechten Fahrstreifen geradeaus",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_LINKER_FAHRSTREI_501-19.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-19.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-29,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach rechts übergeleitet und die drei rechten Fahrstreifen geradeaus",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_LINKER_FAHRSTREI_501-29.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-29.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-50,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach links übergeleitet und die beiden rechten Fahrstreifen geradeaus",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_BEIDEN_LINKE_501-50.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-50.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-51,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach links übergeleitet und rechter Fahrstreifen geradeaus",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_DREI_LINKEN__501-51.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-51.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
