sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
R2-9-1n(R),Right 2 Lanes Must Turn Right,R2-9-1n(R) - Right 2 Lanes Must Turn Right,No,Yes – available.,NA,-,,-,R2-9-1n(R) - Right 2 Lanes Must Turn Right Published 28 Apr 2025 PDF 73.66 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-9-1n.gif?itok=1zqccDNP,,,r2-9-1nr-right-2-lanes-must-turn-right
R2-9-1n(L),Left 2 Lanes Must Turn Left,R2-9-1n(L) - Left 2 Lanes Must Turn Left,No,Yes – available.,NA,-,,-,R2-9-1n(L) - Left 2 Lanes Must Turn Left Published 28 Apr 2025 PDF 73.41 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-9-1n.gif?itok=1zqccDNP,,,r2-9-1nl-left-2-lanes-must-turn-left
R3-1,Pedestrian Crossing (symbolic),R3-1 Pedestrian Crossing (symbolic),Yes,Yes – available.,NSW ROAD RULE - RULE 81,AS 1742.10 (Pedestrians),"RMS Supplement to Australian Standard - 1742, Manual of Uniform Traffic Control Devices (Part 10)",-,Pedestrian Crossing (symbolic) sign design plan Published 15 Jun 2023 PDF 137.97 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-1.gif?itok=nbcb3O_i,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r3-1.pdf,Original PDFs/r3-1.pdf,r3-1-pedestrian-crossing-symbolic
R2-9(R),Right Lane Must Turn Right,R2-9(R) Right Lane Must Turn Right,Yes,Yes – available.,NSW ROAD RULES - RULE 89 (R),AS 1742.2 (Devices),,-,Right Lane Must Turn Right sign design plan Published 15 Jun 2023 PDF 99.54 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-9_r.gif?itok=ISxpXQ_r,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r2-9_r.pdf,Original PDFs/r2-9_r.pdf,r2-9r-right-lane-must-turn-right
R2-7,No Turns,R2-7 No Turns,Yes,Yes – available.,NSW ROAD RULES - RULE 90,AS1742.2 (DEVICES),AS1742.9 (BICYCLE FACILITIES),-,Straight Ahead Only sign design plan Published 15 Jun 2023 PDF 149.06 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-7.gif?itok=ZmHUzseG,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r2-7.pdf,Original PDFs/r2-7.pdf,r2-7-no-turns
R4-201-2n,Complex Intersection (Supplementary Plate) To be Used with R4-1 Speed Limit Sign,R4-201-2n Complex Intersection (Supplementary Plate) To be Used with R4-1 Speed Limit Sign,No,Yes – available.,NA,AS1742.4 Speed Controls,,To be used with R4-1 Speed Limit signs only,Complex Intersection (Supplementary Plate) To be Used with R4-1 Speed Limit Sign sign design plan Published 15 Jun 2023 PDF 205.66 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-201-2n.gif?itok=wY-QLglC,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-201-2n.pdf,Original PDFs/r4-201-2n.pdf,r4-201-2n-complex-intersection-supplementary-plate-to
R4-201-1n,Narrow Bridge (Supplementary Plate) To be Used with R4-1 Speed Limit Sign,R4-201-1n Narrow Bridge (Supplementary Plate) To be Used with R4-1 Speed Limit Sign,No,Yes – available.,NA,AS1742.4 Speed Controls,,To be used with R4-1 Speed Limit signs only,Narrow Bridge (Supplementary Plate) To be Used with R4-1 Speed Limit Sign sign design plan Published 15 Jun 2023 PDF 202.19 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-201-1n.gif?itok=-nq9yvzR,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-201-1n.pdf,Original PDFs/r4-201-1n.pdf,r4-201-1n-narrow-bridge-supplementary-plate-to-be-used
R4-201-3n,Winding Road (Supplementary Plate) To be Used with R4-1 Speed Limit Sign,R4-201-3n Winding Road (Supplementary Plate) To be Used with R4-1 Speed Limit Sign,No,Yes – available.,NA,AS1742.4 Speed Controls,,To be used with R4-1 Speed Limit signs only,Winding Road (Supplementary Plate) To be Used with R4-1 Speed Limit Sign sign design plan Published 15 Jun 2023 PDF 200.4 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-201-3n.gif?itok=ijIXyzVE,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-201-3n.pdf,Original PDFs/r4-201-3n.pdf,r4-201-3n-winding-road-supplementary-plate-to-be-used
R3-3,Children Crossing (flag),R3-3 Children Crossing (flag),Yes,Yes – available.,NSW Road Rules - Rule 80,AS 1742.10 (Pedestrian control and protection),"RMS Supplement to Australian Standard - 1742, Manual of Uniform Traffic Control Devices (Part 10)",-,Children Crossing (flag) sign design plan Published 15 Jun 2023 PDF 190 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-3.gif?itok=cYo8q4Jp,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r3-3.pdf,Original PDFs/r3-3.pdf,r3-3-children-crossing-flag
R5-1-15n,"Parking (1p-10p) (Meter) Times (Various) Mon-Fri Sat-Sun Electric Vehicles While Charging Only (Left, Right or Repeater) (Example Only)","R5-1-15n - Parking (1p-10p) (Meter) Times (Various) Mon-Fri Sat-Sun Electric Vehicles While Charging Only (Left, Right or Repeater) (Example Only)",No,Yes – available.,NSW Road Rule 203C,AS1742.11 (Parking Control),,"'METER','COUPON' or 'TICKET' to be inserted","R5-1-15n - Parking (1p-10p) (Meter) Times (Various) Mon-Fri Sat-Sun Electric Vehicles While Charging Only (Left, Right or Repeater) (Example Only) Published 30 Jan 2025 PDF 116.24 KB",,,,r5-1-15n-parking-1p-10p-meter-times-various-mon-fri
R5-1-14n,"Parking (1p-10p) (Meter) Times (Various) Mon-Fri Electric Vehicles While Charging Only (Left, Right or Repeater) (Example Only)","R5-1-14n - Parking (1p-10p) (Meter) Times (Various) Mon-Fri Electric Vehicles While Charging Only (Left, Right or Repeater) (Example Only)",No,Yes – available.,NSW Road Rule 203C,AS1742.11 (Parking Control),,"'METER','COUPON' or 'TICKET' to be inserted","R5-1-14n - Parking (1p-10p) (Meter) Times (Various) Mon-Fri Electric Vehicles While Charging Only (Left,Right or Repaeter) (Example Only) Published 29 Jan 2025 PDF 101.13 KB",,,,r5-1-14n-parking-1p-10p-meter-times-various-mon-fri
R5-13,Parking (5 Minute) (Example Only),R5-13 - Parking (5 Minute) (Example Only),Yes,Yes – available.,NSW Road Rules 204,AS1742.11 (Parking),,"1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 2. Times of operations and arrow (AS 1742.11 Appendix C) will vary according to requirements. 3. Where permissive parking signs are used with the words ‘Permit Holders Excepted’, a minimum of 1P parking duration is required. Signs that do not meet this requirement are not authorised for installation or use.",R5-13 - Parking (5 Minute) (examples only) R5-13 - Parking (5 Minute) (examples only) sign design plan Show X more,,,,r5-13-parking-5-minute-example-only
R5-12,Parking (2 Minute) (Example Only),R5-12 - Parking (2 Minute) (Example Only),Yes,Yes – available.,NSW Road Rules 204,AS1742.11 (Parking),,"1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 2. Times of operations and arrow (AS 1742.11 Appendix C) will vary according to requirements. 3. Where permissive parking signs are used with the words ‘Permit Holders Excepted’, a minimum of 1P parking duration is required. Signs that do not meet this requirement are not authorised for installation or use.",R5-12 - Parking (2 Minute) (Example Only) Published 26 Jul 2024 PDF 272.13 KB,,,,r5-12-parking-2-minute-example-only
R5-1,Parking (1 Hour) (Examples Only),R5-1 - Parking (1 Hour) (Examples Only),Yes,Yes – available.,NSW Road Rules 204,AS 1742.11 (Parking Controls),"Pay Parking (Roads and Maritime Services) Situation Diagram Times, arrows, payment method and user limitations will vary according to requirements. See 'R9-205n' supplementary plate which indicates the 'method of parking'","Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743. Times of operation, arrows and payment method (AS 1742.11 Appendix C) will vary according to requirements. Additional examples of '1 hour parking with user limitations (ARR 201, 202 and 203)' are shown on sign 'R5-1 (User Limitations)' 'R5-1' sign can be used with supplementary plate 'R9-205n' indicating the 'method of parking (angle, rear to kerb and vehicle length - AS 1742.11 )'. Where permissive parking signs are used with the words ‘Permit Holders Excepted’, a minimum of 1P parking duration is required. Signs that do not meet this requirement are not authorised for installation or use.",R5-1 (with times) (Example Only) Published 18 Jul 2024 PDF 299.66 KB,,,,r5-1-parking-1-hour-examples-only
R5-15,Parking (1/4 hour) (Examples Only),R5-15 - Parking (1/4 hour) (Examples Only),Yes,Yes – available.,NSW Road Rules 204,AS 1742.11 (Parking Controls),"Pay Parking (Roads and Maritime Services ) Situation Diagram Times of operation, arrows and payment method (AS 1742.11 Appendix C) will vary according to requirements. Supplementary plate 'R9-205n' is not to be used with 'R5-15'.","1. Panel size and arrangements to be in accordance with AS1742.11 and AS1743 2. Times of operations, arrows and payment method (AS 1742.11 Appendix C) will vary according to requirements. 3. 'R5-15' is not to be used with 'user limitations (ARR 201 - Bicycle, ARR 202 - Motor Bikes and ARR 203 - Disability)'. 4. 'R5-15' is not to be used with supplementary plate 'R9-205' indicating the 'method of parking (Angle, Rear to Kerb and Vehicle length - AS 1742.11 Clause 3.3.2 (a))'. 5. Where permissive parking signs are used with the words ‘Permit Holders Excepted’, a minimum of 1P parking duration is required. Signs that do not meet this requirement are not authorised for installation or use.",R5-15 - Parking (1/4 Hour) (Example Only) Published 29 Jul 2024 PDF 261.04 KB,,,,r5-15-parking-14-hour-examples-only
R5-14,Parking (10 Minute) (Example Only),R5-14 - Parking (10 Minute) (Example Only),Yes,Yes – available.,NSW Road Rules 204,AS 1742.11 (Parking Controls),,"Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 Where permissive parking signs are used with the words ‘Permit Holders Excepted’, a minimum of 1P parking duration is required. Signs that do not meet this requirement are not authorised for installation or use.",R5-14 - Parking (10 Minute) (Example Only) R5-14 - Parking (10 Minute) (Example Only) sign design plan Show X more,,,,r5-14-parking-10-minute-example-only
R5-20,Bus Zone (Examples Only),R5-20 - Bus Zone (with Times) (Examples Only),Yes,Yes – available.,NSW Road Rules 183,AS 1742.11 (Parking Controls),,1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 2. Times of operation and arrows will vary according to requirements.,R5-20 - Bus Zone (with Times) (Example Only) Published 30 Jul 2024 PDF 147.96 KB,,,,r5-20-bus-zone-times-examples-only
R5-21,Taxi Zone (Examples Only),R5-21 - Taxi Zone (with times) (Example Only),Yes,Yes – available.,NSW Road Rules 182,AS 1742.11 (Parking Controls),,1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 2. Times of operation and arrow will vary according to requirements.,R5-21 - Taxi Zone (with times) (Example Only) Published 2 Aug 2024 PDF 147.62 KB,,,,r5-21-taxi-zone-times-example-only
R5-16,Parking Series. (1/2 hour) (Examples Only),R5-16 - Parking (1/2 hour) (Examples Only),Yes,Yes – available.,NSW Road Rules 204,AS 1742.11 (Parking Controls),"Pay Parking (RMS) Situation Diagram Times of operation, arrows and payment method (AS 1742.11 Appendix C) will vary according to requirements. Supplementary plate 'R9-205n' is not to be used with 'R5-16'.","1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743. 2. Times of operations, arrow and payment method (AS 1742.11 Appendix C) will vary according to requirements. 3. 'R5-16' is not to be used with 'user limitations (ARR 201 - Bicyle, ARR 202 - Motor Bikes and ARR 203 - Disability)'. 4. 'R5-16' is not to be used with supplementary plate 'R9-205' indicating the 'method of parking (Angle, Rear to Kerb and Vehicle length - AS 1742.11 (Clause 3.3.2 (a))'. 5. Where permissive parking signs are used with the words ‘Permit Holders Excepted’, a minimum of 1P parking duration is required. Signs that do not meet this requirement are not authorised for installation or use.",R5-16 - Parking (1/2 hour) (Examples Only) R5-16 - Parking (1/2 hour) (Examples Only) sign design plan Show X more,,,,r5-16-parking-12-hour-examples-only
R5-2,Parking (2 hours) (Examples only),R5-2 - Parking (2 hours) (Examples only),Yes,Yes – available.,NSW Road Rules 204,AS 1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),"Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 Times of operations, arrow and payment method (AS 1742.11 Appendix C) will vary according to requirements. 'R5-16' is not to be used with 'user limitations (ARR 201 - Bicycle, ARR 202 - Motor Bikes and ARR 203 - Disability)'. 'R5-16' is not to be used with supplementary plate 'R9-205n' indicating the 'method of parking (Angle, Rear to Kerb and Vehicle length - AS 1742.11)'.",R5-2 - Parking (2 Hours) (Examples Only) Published 24 Jul 2024 PDF 303.39 KB,,,,r5-2-parking-2-hours-examples-only
R5-23,Loading Zone (Examples Only),R5-23 - Loading Zone (Examples Only),Yes,Yes – available.,NSW Road Rules 179,AS 1742.11 (Parking Controls),,Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743,R5-23 - Loading Zone (with times) (Example Only) Published 2 Aug 2024 PDF 368.96 KB,,,,r5-23-loading-zone-examples-only
R5-207-1n,Unless Other Parking Laws Apply (for use with R5-61-4n & R5-62-4n),R5-207-1n - Unless Other Parking Laws Apply (for use with R5-61-4n & R5-62-4n),Yes,Yes – available.,NA,for use with R5-61-4n & R5-62-4n,,Supplementary sign. For use with R5-61-4n & R5-62-4n.,Unless Other Parking Laws Apply (for use with R5-61-4 & R5-62-4) sign design plan Published 15 Jun 2023 PDF 29.95 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-207-1.gif?itok=vFDNRF-Q,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-207-1.pdf,Original PDFs/r5-207-1.pdf,r5-207-1n-unless-other-parking-laws-apply-for-use-r5
R5-207-2n,Unless Other Parking Laws Apply (for use with R5-60-4n),R5-207-2n - Unless Other Parking Laws Apply (for use with R5-60-4n),Yes,Yes – available.,NA,for use with R5-60-4n,,Supplementary sign. For use with R5-60-4n.,Unless Other Parking Laws Apply (for use with R5-60-4) sign design plan Published 15 Jun 2023 PDF 26.11 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-207-2.gif?itok=tTGg4T99,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-207-2.pdf,Original PDFs/r5-207-2.pdf,r5-207-2n-unless-other-parking-laws-apply-for-use-r5
R5-201-2n,"Except As Signed (for use with R5-60-1, R5-60-2, R5-60-3)","R5-201-2n - Except As Signed (for use with R5-60-1, R5-60-2, R5-60-3)",Yes,Yes – available.,NA,"for use with R5-60-1, R5-60-2, R5-60-3",,"Supplementary sign. For use with R5-60-1, R5-60-2, R5-60-3.","Except As Signed (for use with R5-60-1, R5-60-2, R5-60-3) sign design plan Published 15 Jun 2023 PDF 45.11 KB",/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-201-2.gif?itok=NNuyrWTN,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-201-2.pdf,Original PDFs/r5-201-2.pdf,r5-201-2n-except-as-signed-for-use-r5-60-1-r5-60-2-r5
R5-201-1n,Except As Signed (For use with R5-61 & R5-81 series),R5-201-1n - Except As Signed (For use with R5-61 & R5-81 series),Yes,Yes – available.,NA,For use with R5-61 & R5-81 series,,Supplementary sign. For use with R5-61 & R5-81 series,"Except As Signed (for use with R5-61-1, R5-61-2, R5-61-3) sign design plan Published 15 Jun 2023 PDF 35.11 KB",/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-201-1.gif?itok=uWohyroT,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-201-1.pdf,Original PDFs/r5-201-1.pdf,r5-201-1n-except-as-signed-for-use-r5-61-r5-81-series
R5-24,Truck Zone (with times) (Examples Only),R5-24 - Truck Zone (with times) (Examples Only),Yes,Yes – available.,NSW Road Rules 180,AS 1742.11 (Parking Controls),,Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743,R5-24 - Truck Zone (with times) (Example Only) Published 2 Aug 2024 PDF 352.53 KB,,,,r5-24-truck-zone-times-examples-only
R5-25,Works Zone (Examples Only),R5-25 - Works Zone (with times) (Examples Only),Yes,Yes – available.,NSW Road Rules 181,AS 1742.11 (Parking Controls),,Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743,R5-25 - Works Zone (with times) (Example Only) Published 2 Aug 2024 PDF 355.75 KB,,,,r5-25-works-zone-times-examples-only
R5-26,Mail Zone (Examples Only),R5-26 - Mail Zone (with times) (Examples Only),Yes,Yes – available.,NSW Road Rules 186,AS 1742.11 (Parking Controls),,Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743,R5-26 - Mail Zone (with times) (Example Only) Published 2 Aug 2024 PDF 113.44 KB,,,,r5-26-mail-zone-times-examples-only
R5-310-4n,Bus Lane (24 hrs) (Repeater),R5-310-4n - Bus Lane (24 hrs) (Repeater),No,Yes – available.,NSW Road Rules 154,- Secondary Technical References Delineation (RTA) - Section 9,,-,R5-310-4n - Bus Lane (24 hrs) (Repeater) sign design plan Published 15 Jun 2023 PDF 87.64 KB,,,,r5-310-4n-bus-lane-24-hrs-repeater
R5-310-3n,Bus Lane (AM & PM) (Repeater),R5-310-3n - Bus Lane (AM & PM) (Repeater),No,Yes – available.,NSW Road Rules 154,- Secondary Technical References Delineation (RTA) - Section 9,,,R5-310-3n - Bus Lane (Am & Pm) (Repeater) sign design plan Published 15 Jun 2023 PDF 98.96 KB,,,,r5-310-3n-bus-lane-am-pm-repeater
R5-310-2n,Bus Lane (PM) (Repeater),R5-310-2n - Bus Lane (PM) (Repeater),No,Yes – available.,NSW Road Rules 154,- Secondary Technical References Delineation (RTA) - Section 9,,,R5-310-2n - Bus Lane (Pm) (Repeater) sign design plan Published 15 Jun 2023 PDF 90.8 KB,,,,r5-310-2n-bus-lane-pm-repeater
R5-310-1n,Bus Lane (AM) (Repeater),R5-310-1n - Bus Lane (AM) (Repeater),No,Yes – available.,NSW Road Rules 154,- Secondary Technical References Delineation (RTA) - Section 9,,,R5-310-1n - Bus Lane (Am) (Repeater) sign design plan Published 15 Jun 2023 PDF 90.73 KB,,,,r5-310-1n-bus-lane-am-repeater
R5-311-2n,Bus Only Lane (Pm) (Repeater),R5-311-2n - Bus Only Lane (Pm) (Repeater),No,Yes – available.,NSW Road Rules 15,-,,-,R5-311-2n - Bus Only Lane (Pm) (Repeater) sign design plan Published 15 Jun 2023 PDF 93.52 KB,,,,r5-311-2n-bus-only-lane-pm-repeater
R5-311-1n,Bus Only Lane (Am) (Repeater),R5-311-1n - Bus Only Lane (Am) (Repeater),No,Yes – available.,NSW Road Rules 15,-,,-,R5-311-1n - Bus Only Lane (Am) (Repeater) sign design plan Published 15 Jun 2023 PDF 93.66 KB,,,,r5-311-1n-bus-only-lane-am-repeater
R5-311-3n,Bus Only Lane (AM & PM) (Repeater),R5-311-3n - Bus Only Lane (AM & PM) (Repeater),No,Yes – available.,NSW Road Rules 15,-,,-,R5-311-3n - Bus Only Lane (Am & Pm) (Repeater) sign design plan Published 15 Jun 2023 PDF 101.69 KB,,,,r5-311-3n-bus-only-lane-am-pm-repeater
R5-400n,No Stopping,R5-400n - No Stopping,No,Yes – available.,NSW Road Rules 167,AS1742.11 (Parking Control),Delineation (Roads and Maritime Services ) - Section 13 TDT 2002/12c - Stopping and Parking Restrictrictions at Intersections and Crossings,Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 No exceptions permittted Time of day restrictions are permitted,R5-400n No Stopping Published 11 Jul 2024 PDF 219.63 KB,,,,r5-400n-no-stopping
R5-403n,No Stopping 8.30-9.30AM & 3-4PM School Days,R5-403n - No Stopping 8.30-9.30AM & 3-4PM School Days,No,Yes – available.,-,AS1742.11 (Parking Control),,-,R5-403n No Stopping 8.30-9.30AM 3-4PM School Days Published 11 Jul 2024 PDF 374.31 KB,,,,r5-403n-no-stopping-830-930am-3-4pm-school-days
R5-40-1n,"No Parking (Symbolic) Electric Vehicles (Symbolic) Excepted While Charging (Left, Right & Repeater)","R5-40-1n - No Parking (Symbolic) Electric Vehicles (Symbolic) Excepted While Charging (Left, Right & Repeater)",No,Yes – available.,Roads Transport Act 2013 203C(ii),AS1742.11(Parking Control),,-,"No Parking (Symbolic) Electric Vehicles (Symbolic) Excepted While Charging (Left, Right & Repeater) sign design plan Published 15 Jun 2023 PDF 32.2 KB",/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-40-1n.gif?itok=ppb-cb7p,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-40-1n.pdf,Original PDFs/r5-40-1n.pdf,r5-40-1n-no-parking-symbolic-electric-vehicles
R5-405n,No Stopping Taxis Excepted (Limit 1 Minute),R5-405n - No Stopping Taxis Excepted (Limit 1 Minute),No,Yes – available.,-,TDT 2008/06 - Guidelines for the use of 'NO STOPPING TAXIS EXCEPTED 1 MINUTE LIMIT' zones and signposting Situation Diagram To be only used with R5-406n(L&R),,Panel sizes and arrangements to be in accordence with AS1742.11 and AS1743,R5-405n No Stopping Taxis Excepted (Limit 1 Minute) Published 15 Jul 2024 PDF 260.2 KB,,,,r5-405n-no-stopping-taxis-excepted-limit-1-minute
R5-404n,No Stopping 8-9AM 2.30-3.30PM School Days,R5-404n - No Stopping 8-9AM 2.30-3.30PM School Days,No,Yes – available.,-,AS 1742.11 (Parking Controls),,-,R5-404n No Stopping 8-9AM 2.30-3.30PM School Days Published 11 Jul 2024 PDF 360.86 KB,,,,r5-404n-no-stopping-8-9am-230-330pm-school-days
R5-407n,No Stopping (Top plate) (Example Only),R5-407n - No Stopping (Top plate) (Example Only),No,Yes – available.,-,AS 1742.11,,Panel sizes and arrangements to be in accordence with AS1742.11 and AS1743,R5-407n - No Stopping (Top Plate) Published 12 Jul 2024 PDF 126 KB,,,,r5-407n-no-stopping-top-plate-example-only
R5-311-4n,Bus Only Lane (24 hrs) (Repeater),R5-311-4n - Bus Only Lane (24 hrs) (Repeater),No,Yes – available.,NSW Road Rules 15,-,,-,R5-311-4n - Bus Only Lane (24 hrs) (Repeater) sign design plan Published 15 Jun 2023 PDF 88.6 KB,,,,r5-311-4n-bus-only-lane-24-hrs-repeater
R5-40,No parking (at any time) (symbolic),R5-40 - No parking (at any time) (symbolic),Yes,Yes – available.,-,AS1742.11 (Parking Control),TDT 2002/12b - Stopping and Parking Restrictions at Intersections and Crossings,"Panel sizes and arrangement to be in accordance with AS1742.11 and AS1743 Where permissive parking signs are used with the words ‘Permit Holders Excepted’, a minimum of 1P parking duration is required. Signs that do not meet this requirement are not authorised for installation or use.",R5-40 - No Parking (at any time) (symbolic) Published 18 Oct 2024 PDF 412.8 KB,,,,r5-40-no-parking-at-any-time-symbolic
R5-4,Parking (4 hours) (examples only),R5-4 - Parking (4 hours) (examples only),Yes,Yes – available.,NSW Road Rules 204,AS 1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),"Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743. Times of operation, arrows and payment method (AS 1742.11 Appendix C) will vary according to requirements.",R5-4 - Parking (4 Hours) (Example Only) Published 24 Jul 2024 PDF 313.98 KB,,,,r5-4-parking-4-hours-examples-only
R5-40-2n,"No Parking (Symbolic) Electric Vehicles (Symbolic) Excepted (Left, Right & Repeater)","R5-40-2n - No Parking (Symbolic) Electric Vehicles (Symbolic) Excepted (Left, Right & Repeater)",No,Yes – available.,Roads Transport Act 2013 203C(ii),AS1742.11(Parking Control),,-,"No Parking (Symbolic) Electric Vehicles (Symbolic) Excepted (Left, Right & Repeater) sign design plan Published 15 Jun 2023 PDF 30.2 KB",/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-40-2n.gif?itok=WWezHX_P,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-40-2n.pdf,Original PDFs/r5-40-2n.pdf,r5-40-2n-no-parking-symbolic-electric-vehicles
R5-402n,No Stopping (with times) (Example Only),R5-402n - No Stopping (with times) (Example Only),No,Yes – available.,-,-,,-,R5-402n No Stopping with Times Published 11 Jul 2024 PDF 392.22 KB,,,,r5-402n-no-stopping-times-example-only
R5-447n,"No Parking (Authorised Car Share Vehicles Excepted Zone Xxxxx) (Left, Left/Right and Right Arrows)","R5-447n - No Parking (Authorised Car Share Vehicles Excepted Zone Xxxxx) (Left, Left/Right and Right Arrows)",No,Yes – available.,NSW Road Rules 168,TDT 2007/04 Guidelines for the Implementation of On-Street Car Share Parking,,1. Panel size and arrangement to be in accordance with AS1742.11 and AS1743 2. Council name to be inserted into space.,"No Parking (Authorised Car Share Vehicles Excepted Zone Xxxxx) (Left, Left/Right and Right Arrows) sign design plan Published 15 Jun 2023 PDF 97.95 KB",/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-447.gif?itok=tVMGszeW,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-447.pdf,Original PDFs/r5-447.pdf,r5-447n-no-parking-authorised-car-share-vehicles
R5-446n,"No parking (symbolic) Wedding Or Funeral Vehicles Excepted (L, LR & R arrows)","R5-446n - No parking (symbolic) Wedding Or Funeral Vehicles Excepted (L, LR & R arrows)",No,Yes – available.,-,AS1742.11 (Parking),,Panel size and arrangement to be in accordance with AS1742.11 and AS1743,"R5-446n - No parking (symbolic) Wedding Or Funeral Vehicles Excepted (L, LR & R arrows) sign design plan Published 15 Jun 2023 PDF 254.76 KB",,,,r5-446n-no-parking-symbolic-wedding-or-funeral
R5-501n,"Angle Parking (Front to Curb) (Vehicles under 6m Only) (L, LR & R Arrows)","R5-501n - Angle Parking (Front to Curb) (Vehicles under 6m Only) (L, LR & R Arrows)",No,Yes – available.,-,AS1742.11 (Parking) Clause 3.3.2(a),Roads and Maritime Services Supplement to AS1742 - Manual of Uniform Traffic Control Devices - Part 10,Panel size and arrangements to be in accordance with AS1742.11 and AS1743,"R5-501n - Angle Parking (Front to Curb) (L, LR & R Arrows) sign design plan Published 15 Jun 2023 PDF 129.4 KB",,,,r5-501n-angle-parking-front-to-curb-vehicles-under-6m
