sheet,page,code,issue_type,detail
2012_Supplement_006,81,R3-48a,ELEMENT MISSING,"black changeable-message panels merged into one irregular blob; the $ 0.50 and $ 2.00 LED-style legends are absent"
2012_Supplement_007,95,R5-10c,CODE/NAME,"page crop and extract both read NO PEDESTRIANS OR BICYCLES (identical to R5-10b); NO PEDESTRIANS sign not extracted - wrong region of page 95"
2012_Supplement_008,107,R7-23,LETTERING,"colons missing: extract reads 8 30 AM TO 5 30 PM; page reads 8:30 AM TO 5:30 PM"
2012_Supplement_010,120,R10-3b,LETTERING,"apostrophes missing: DON T START / DON T CROSS"
2012_Supplement_010,121,R10-3c,LETTERING,"apostrophes missing: DON T START / DON T CROSS"
2012_Supplement_010,122,R10-3d,LETTERING,"apostrophes missing: DON T START / DON T CROSS"
2012_Supplement_010,123,R10-3e,LETTERING,"letters I/i/l and apostrophes missing throughout: START CROSS NG, Veh c es, F n sh Cross ng, f Started, T ME REMA N NG, DON T CROSS"
2012_Supplement_010,124,R10-3f,LETTERING,"letters I/i/l and apostrophes missing: START CROSS NG, Veh c es, F n sh Cross ng, DON T, Map e Dr ve"
2012_Supplement_010,125,R10-3g,LETTERING,"letters I/i/l and apostrophes missing: START CROSS NG, Veh c es, F n sh Cross ng, DON T, Map e Dr ve"
2012_Supplement_010,126,R10-3h,LETTERING,"letters I/i/l and apostrophes missing: START CROSS NG, TO MED AN, Veh c es, F n sh, DON T, Map e Dr ve"
2012_Supplement_011,137,R10-20aP (3-line),CODE/NAME,"page crop and extract identical to the 2-line R10-20aP (SUNDAY 7AM-11AM); 3-line variant not extracted - wrong region of page 137"
2012_Supplement_012,148,R13-1,ELEMENT MISSING,"white sign background missing - grey shows through the whole sign face"
2012_Supplement_012,148,R13-1,ELEMENT EXTRA,"white dimension-mask specks visible between and beside the legend lines"
2012_Supplement_012,151,R16-4,ELEMENT MISSING,"yellow FENDER BENDER panel fill and white lower panel fill both missing - grey shows through"
2012_Supplement_012,151,R16-4,ELEMENT EXTRA,"white/yellow dimension-mask specks visible around the legend"
2012_Supplement_013,156,R16-11,CODE/NAME,"page crop and extract both read BEGIN DAYTIME HEADLIGHT SECTION (identical to R16-10); END sign not extracted - wrong region of page 156"
2012_Supplement_013,157,W1-6L,SCALE/SHAPE,"arrow points right - identical to W1-6R; L variant not mirrored"
2012_Supplement_013,159,W1-10a,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_013,160,W1-10b,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_013,161,W1-10c,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_013,162,W1-10d,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_014,163,W1-10e,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_014,164,W3-6,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_014,165,W3-7,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_014,166,W3-8,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_014,167,W4-3R,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_014,167,W4-3L,SCALE/SHAPE,"identical to W4-3R (added lane enters from the right); L variant not mirrored"
2012_Supplement_014,167,W4-3L,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_014,171,W5-2,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_014,172,W5-4a,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_015,175,W8-3,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_015,176,W8-4,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_015,177,W8-5,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_015,182,W8-10,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_015,182,W8-10P,CODE/NAME,"page crop and extract are the W8-10 bicycle diamond; SLIPPERY WHEN WET plaque not extracted - wrong region of page 182"
2012_Supplement_015,183,W8-12,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_015,184,W8-13,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_016,185,W8-14,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_016,186,W8-15,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_016,188,W8-16,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_016,189,W8-17R,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_016,189,W8-17L,SCALE/SHAPE,"identical to W8-17R (drop-off on the right); L variant not mirrored"
2012_Supplement_016,189,W8-17L,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_016,191,W8-18,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_016,193,W8-21,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_016,194,W8-22,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_016,195,W8-23,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_017,196,W8-25,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_017,198,W9-6P,LETTERING,"hyphen missing: extract reads PAY TOLL 1 MILE CARS 75c; page reads PAY TOLL 1 MILE - CARS 75c"
2012_Supplement_017,200,W9-6aP,LETTERING,"hyphen missing: extract reads STOP AHEAD PAY TOLL; page reads STOP AHEAD - PAY TOLL"
2012_Supplement_017,204,W10-9,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_018,212,W11-6,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_018,213,W11-15,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_018,215,W11-15a,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_018,216,W11-16,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_018,217,W11-17,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_018,218,W11-18,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_019,219,W11-19,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_019,220,W11-20,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_019,221,W11-21,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_019,222,W11-22,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_019,225,W14-1,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_019,226,W14-1aL,SCALE/SHAPE,"arrow points right - identical to W14-1aR; L variant not mirrored"
2012_Supplement_019,227,W14-2,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_020,233,W17-1,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_020,236,W19-3,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_020,237,W19-4,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_020,239,W23-2,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_022,255,D3-1,CODE/NAME,"extract is the Williamstown - New Brooklyn Rd sign; page drawing is W 3rd St - wrong SVG paired with this page"
2012_Supplement_022,256,D3-1 (alternate),CODE/NAME,"extract is the green Williamstown - New Brooklyn Rd sign; page drawing is the black-bordered W 3rd St alternate - wrong SVG and wrong colour"
2012_Supplement_022,255,D3-1,LETTERING,"lower-case i dots missing: Wılliamstown"
2012_Supplement_022,256,D3-1 (alternate),LETTERING,"lower-case i dots missing: Wılliamstown"
2012_Supplement_022,257,D3-1,LETTERING,"lower-case i dots missing: Wılliamstown"
2012_Supplement_022,258,D3-1a,LETTERING,"lower-case i dot missing: Harrıson"
2012_Supplement_023,260,D3-2 (3 lines),CODE/NAME,"extract is Johnson Blvd / NEXT SIGNAL (the p259 2-line sign); page drawing is Scott Blvd / Lincoln Ave / NEXT SIGNAL"
2012_Supplement_023,261,D3-2 (3 lines),CODE/NAME,"extract is Johnson Blvd / NEXT SIGNAL (the p259 2-line sign); page drawing is Century Dr / 14th St / NEXT ROUNDABOUT"
2012_Supplement_023,262,D3-2 (4 lines),CODE/NAME,"extract is Johnson Blvd / NEXT SIGNAL (the p259 2-line sign); page drawing is Shady Grove Rd NEXT INTERSECTION / Pleasant St 2ND INTERSECTION"
2012_Supplement_027,313,E2-1aP,CODE/NAME,"page crop and extract identical to the 1-line E2-1P (NEXT EXIT 6 MILES on one line); 2-line plaque not extracted - wrong region of page 313"
2012_Supplement_029,332,E11-1f,CODE/NAME,"page crop and extract identical to E11-1e (two diagonal up arrows); 2-down-arrow variant not extracted - wrong region of page 332"
2012_Supplement_029,340,M3-2,ELEMENT MISSING,"extract is empty; page crop is the dimension table for the sign, not the sign drawing - wrong region of page 340"
2012_Supplement_030,341,M3-4,ELEMENT MISSING,"extract is empty; page crop is the dimension table for the sign, not the sign drawing - wrong region of page 341"
2012_Supplement_031,363,EM-1a,LETTERING,"TSUNAMI legend below the wave symbol (shown on the page crop) is absent from the extract"
2012_Supplement_031,367,W8-24,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_031,372,W20-5a,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_031,373,W20-7,SCALE/SHAPE,"extract is the flagger pictograph only, clipped at head and feet, with no orange panel; page is the symbol-detail drawing so the crop/scale is wrong"
2012_Supplement_032,377,W21-1a,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_032,379,W21-8,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_032,380,W22-1,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_032,385,S3-1,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
2012_Supplement_032,386,S3-2,TRANSPARENCY,"small white dimension-mask specks on grey background left of the diamond"
