sheet,page,code,issue_type,detail
Guide_Signs_011,80,D9-18a,CODE/NAME,name 'CAMPING' and drawing is the six-symbol sign; D9-18a should be the FOOD-PHONE/GAS-LODGING text sign
Guide_Signs_011,79,D9-17 (METRIC),CODE/NAME,caption says METRIC (XX km) but drawing reads '23 MILES' (identical to English version)
Guide_Signs_011,83,D10-3a,ELEMENT MISSING,nothing extracted; right side is blank (page shows MILE 4 4 4 reference marker)
Guide_Signs_011,83,D10-2a,ELEMENT MISSING,nothing extracted; right side is blank (page shows MILE 4 4 marker)
Guide_Signs_012,94,D13-3aR,CODE/NAME,R variant identical to D13-3aL (arrow points down-right); not mirrored
Guide_Signs_012,95,I1-1,LETTERING,page reads 'SIGNALS SET FOR 25 M.P.H.' but extraction reads 'SIGNALS SET FOR 30 km/h' (metric SVG used for English page)
Guide_Signs_013,103,I-11,LETTERING,'RECYCLING COLLECTION CENTER' legend missing; only the recycling symbol rendered
Guide_Signs_014,107,E2-3 (ENGLISH),LETTERING,page shows 'EXIT 123' panel but extraction is the FOOD-PHONE/GAS-LODGING/HOSPITAL/CAMPING text sign (wrong drawing)
Guide_Signs_014,108,E2-2,CODE/NAME,code/name 'E2-2 SECOND RIGHT' assigned to the six-symbol motorist services drawing
Guide_Signs_014,110,D9-18c,LETTERING,page shows 'EXIT 123' square panel but extraction is the FOOD-PHONE...NEXT EXIT text sign (wrong drawing); name garbled 'R B**'
Guide_Signs_014,107,E1-5,CODE/NAME,name 'MOTORIST SERVICES SYMBOL SIGN' but drawing reads 'EXIT 123'
Guide_Signs_014,108,D9-17,LETTERING,page shows six-symbol motorist services sign but extraction reads 'NEXT SERVICES 23 MILES' (wrong drawing); name 'SECOND RIGHT' wrong
Guide_Signs_014,109,E2-3,CODE/NAME,code E2-3 assigned to the FOOD-PHONE/GAS-LODGING text sign (D9-18a)
Guide_Signs_014,109,D9-18a,LETTERING,page shows FOOD-PHONE/GAS-LODGING/HOSPITAL/CAMPING text sign but extraction is the six-symbol sign (wrong drawing); name garbled '84'
Guide_Signs_014,110,E1-5a,CODE/NAME,name garbled as 'R A**' (drawing is EXIT 123 square panel)
