sheet,page,code,issue_type,detail
2024_Releases_1-4_010,132,R3-13a,LETTERING,"hyphens missing: '6AM 9AM' and 'MON FRI' instead of '6AM-9AM' and 'MON-FRI'"
2024_Releases_1-4_010,134,R3-14a,LETTERING,"colons missing: '6 30AM-9 30AM' instead of '6:30AM-9:30AM'"
2024_Releases_1-4_010,136,R3-14c,LETTERING,"hyphens missing: '6AM 9AM' and 'MON FRI' instead of '6AM-9AM' and 'MON-FRI'"
2024_Releases_1-4_013,163,R3-28,LETTERING,"decimal points missing in toll amounts: '$125' and '$075' instead of '$1.25' and '$0.75'"
2024_Releases_1-4_014,178,R3-44,ELEMENT MISSING,"Toll Pass logo lettering missing - purple panel rendered as a plain rectangle"
2024_Releases_1-4_014,179,R3-44a,ELEMENT MISSING,"Toll Pass logo lettering missing - purple panel rendered as a plain rectangle"
2024_Releases_1-4_014,183,R3-48,ELEMENT MISSING,"changeable-message toll panels rendered as one merged black blob; '$ 0.50' / '$ 2.00' LED legend missing; size caption [1.5] implausible"
2024_Releases_1-4_014,184,R3-48a,ELEMENT MISSING,"changeable-message toll panels rendered as one merged black blob; '$ 0.50' / '$ 2.00' LED legend missing; size caption [15.5] implausible"
2024_Releases_1-4_017,219,R4-20L,ELEMENT MISSING,"nothing extracted - right side is blank; size caption empty '[]'"
2024_Releases_1-4_020,250,R7-2,LETTERING,"colons missing in times: '8 30 AM' / '5 30 PM' instead of '8:30 AM' / '5:30 PM'"
2024_Releases_1-4_021,263,R7-21,LETTERING,"colon missing: '8 30AM' instead of '8:30AM'"
2024_Releases_1-4_021,264,R7-21aP,LETTERING,"period missing in URL: 'CityParkingWeb com' instead of 'CityParkingWeb.com'"
2024_Releases_1-4_023,304,R8-10aR,LETTERING,"legend reads 'FLASH NG' - letter I missing from FLASHING"
2024_Releases_1-4_023,311,R9-4,ELEMENT EXTRA,"small red marker square on the hand symbol near the wrist (dimension marker)"
2024_Releases_1-4_028,369,R10-15R,LETTERING,"small YIELD symbol legend reads 'Y ELD' - letter I missing"
2024_Releases_1-4_028,369,R10-15L,LETTERING,"small YIELD symbol legend reads 'Y ELD' - letter I missing"
2024_Releases_1-4_029,378,R10-20aP,LETTERING,"wrong legend: page reads 'MON-FRI / 7AM-9AM / 4PM-7PM' (3 lines) but extracted reads 'SUNDAY / 7AM-11AM' (duplicate of p377 R10-20aP); shape also wider than page drawing"
2024_Releases_1-4_032,419,R15-1,ELEMENT EXTRA,"white marker squares visible outside the crossbuck arms (in the transparent area)"
2024_Releases_1-4_032,420,R15-2P,TRANSPARENCY,"white background of the upper number panel ('3') missing - grey shows through either side of the numeral; white marker squares visible; no border on plaque"
2024_Releases_1-4_033,427,R15-6,ELEMENT EXTRA,"small red marker on the lower-right of the car symbol (dimension marker)"
2024_Releases_1-4_034,443,W1-1R,ELEMENT EXTRA,"stray black arrow fragment below-left of the diamond, outside the sign outline (fragment of the page's inset drawing); white marker dots also visible"
2024_Releases_1-4_034,443,W1-1L,CODE/NAME,"extracted W1-1L shows a RIGHT-turn arrow (page main drawing is the R version with the L version only as a small inset); left variant not mirrored; stray black fragment below-left of the diamond"
2024_Releases_1-4_034,444,W1-2R,ELEMENT EXTRA,"stray black triangle fragment below-left of the diamond, outside the sign outline; white marker dots visible"
