code,name,family,file,size,diagram,notes
512.2L,Junction on left bend ahead,Warning Signs,JUNCTION_ON_LEFT_BEND_AHEAD_512.2L.svg,600x527 mm,512.2,600 mm (working drawing p512x2; alternatives 750/900/1200/1500)
512.1,Junction on right bend ahead,Warning Signs,JUNCTION_ON_RIGHT_BEND_AHEAD_512.1.svg,600x527 mm,512.1,600 mm (working drawing p512x1; alternatives 750/900/1200/1500)
512.1L,Junction on left bend ahead,Warning Signs,JUNCTION_ON_LEFT_BEND_AHEAD_512.1L.svg,600x527 mm,512.1,600 mm (working drawing p512x1; alternatives 750/900/1200/1500)
512.2,Junction on right bend ahead,Warning Signs,JUNCTION_ON_RIGHT_BEND_AHEAD_512.2.svg,600x527 mm,512.2,600 mm (working drawing p512x2; alternatives 750/900/1200/1500)
543.1,Traffic signals ahead that only operate at certain times,Warning Signs,TRAFFIC_SIGNALS_AHEAD_THAT_ONLY_OPERATE_AT_CERTAIN_TIMES_543.1.svg,2000x1049 mm,543.1,"working drawing p543x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
510,Roundabout,Warning Signs,ROUNDABOUT_510.svg,600x527 mm,510.0,600 mm (working drawing p510; alternatives 750/900/1200/1500)
506.1,Side road ahead (right),Warning Signs,SIDE_ROAD_AHEAD_RIGHT_506.1.svg,600x527 mm,506.1,600 mm (working drawing p506x1; alternatives 750/900/1200/1500)
506.1L,Side road ahead (left),Warning Signs,SIDE_ROAD_AHEAD_LEFT_506.1L.svg,600x527 mm,506.1,600 mm (working drawing p506x1; alternatives 750/900/1200/1500)
506.1LL,Side road ahead (left),Warning Signs,SIDE_ROAD_AHEAD_LEFT_506.1LL.svg,600x527 mm,506.1,600 mm (working drawing p506x1; alternatives 750/900/1200/1500)
506.1RR,Side road ahead (right),Warning Signs,SIDE_ROAD_AHEAD_RIGHT_506.1RR.svg,600x527 mm,506.1,600 mm (working drawing p506x1; alternatives 750/900/1200/1500)
507.1,Staggered junction ahead (left/right),Warning Signs,STAGGERED_JUNCTION_AHEAD_LEFT_RIGHT_507.1.svg,600x527 mm,507.1,600 mm (working drawing p507x1; alternatives 750/900/1200/1500)
506.1RLL,Staggered junction ahead (right/left),Warning Signs,STAGGERED_JUNCTION_AHEAD_RIGHT_LEFT_506.1RLL.svg,600x527 mm,507.1,600 mm (working drawing p507x1; alternatives 750/900/1200/1500); DfT file is named 507.rll.eps
506.1LRR,Staggered junction ahead (left/right),Warning Signs,STAGGERED_JUNCTION_AHEAD_LEFT_RIGHT_506.1LRR.svg,600x527 mm,507.1,600 mm (working drawing p507x1; alternatives 750/900/1200/1500); DfT file is named 507.1lrr.eps
506.1RL,Staggered junction ahead (right/left),Warning Signs,STAGGERED_JUNCTION_AHEAD_RIGHT_LEFT_506.1RL.svg,600x527 mm,507.1,600 mm (working drawing p507x1; alternatives 750/900/1200/1500); DfT file is named 507.1rl.eps
502,100 yards to a junction ahead controlled by a STOP sign,Warning Signs,100_YARDS_TO_A_JUNCTION_AHEAD_CONTROLLED_BY_A_STOP_SIGN_502.svg,1712x1146 mm,502.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
505.1,T-junction ahead (left),Warning Signs,T_JUNCTION_AHEAD_LEFT_505.1.svg,600x527 mm,505.1,600 mm (working drawing p505x1; alternatives 750/900/1200/1500)
505.1R,T-junction ahead (right),Warning Signs,T_JUNCTION_AHEAD_RIGHT_505.1R.svg,600x527 mm,505.1,600 mm (working drawing p505x1; alternatives 750/900/1200/1500)
508.1,Traffic merges ahead from the left,Warning Signs,TRAFFIC_MERGES_AHEAD_FROM_THE_LEFT_508.1.svg,600x530 mm,508.1,600 mm (working drawing p508x1; alternatives 750/900/1200/1500)
509.1,Traffic merges ahead onto main carriageway from the left,Warning Signs,TRAFFIC_MERGES_AHEAD_ONTO_MAIN_CARRIAGEWAY_FROM_THE_LEFT_509.1.svg,600x530 mm,509.1,600 mm (working drawing p509x1; alternatives 750/900/1200/1500)
543,Traffic signals ahead,Warning Signs,,,543.0,"raster artwork (Photoshop EPS), no vector paths"
520,Dual carriageway ends ahead,Warning Signs,DUAL_CARRIAGEWAY_ENDS_AHEAD_520.svg,600x527 mm,520.0,600 mm (working drawing p520; alternatives 750/900/1200/1500)
575,Large vehicles likely to be in middle of road because of narrowness of carriageway,Warning Signs,LARGE_VEHICLES_LIKELY_TO_BE_IN_MIDDLE_OF_ROAD_BECAUSE_OF_NARROWNESS_OF_575.svg,4224x3539 mm,575.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
511,Reduction in speed necessary for a change in road layout ahead,Warning Signs,REDUCTION_IN_SPEED_NECESSARY_FOR_A_CHANGE_IN_ROAD_LAYOUT_AHEAD_511.svg,150x109 mm,511.0,150 mm (working drawing p511; alternatives 200); 1 stroked path(s) outlined with Inkscape
517L,Road narrows on left ahead,Warning Signs,ROAD_NARROWS_ON_LEFT_AHEAD_517L.svg,600x527 mm,517.0,600 mm (working drawing p517; alternatives 750/900/1200/1500); also in DfT category Traffic calming
516,Road narrows on both sides ahead,Warning Signs,ROAD_NARROWS_ON_BOTH_SIDES_AHEAD_516.svg,600x527 mm,516.0,600 mm (working drawing p516; alternatives 750/900/1200/1500); also in DfT category Traffic calming
517,Road narrows on right ahead,Warning Signs,ROAD_NARROWS_ON_RIGHT_AHEAD_517.svg,600x527 mm,517.0,600 mm (working drawing p517; alternatives 750/900/1200/1500); also in DfT category Traffic calming
518,Convergence of traffic to a single file in each direction,Warning Signs,CONVERGENCE_OF_TRAFFIC_TO_A_SINGLE_FILE_IN_EACH_DIRECTION_518.svg,2149x1041 mm,518.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
519,Road only wide enough for one line of vehicles,Warning Signs,ROAD_ONLY_WIDE_ENOUGH_FOR_ONE_LINE_OF_VEHICLES_519.svg,2498x1041 mm,519.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
521,Two-way traffic,Warning Signs,TWO_WAY_TRAFFIC_521.svg,600x527 mm,521.0,600 mm (working drawing p521; alternatives 750/900/1200)
522,Two-way traffic on route crossing ahead,Warning Signs,TWO_WAY_TRAFFIC_ON_ROUTE_CROSSING_AHEAD_522.svg,600x527 mm,522.0,600 mm (working drawing p522; alternatives 750/900/1200)
573,Distance and direction to hazard,Warning Signs,DISTANCE_AND_DIRECTION_TO_HAZARD_573.svg,3935x2618 mm,573.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
572,400 yards ahead to hazard,Warning Signs,400_YARDS_AHEAD_TO_HAZARD_572.svg,4070x1538 mm,572.0,"working drawing p572 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); also in DfT category Road works and temporary"
817.2LL,Direction to escape lane to the left for vehicles unable to stop on a steep hill,Warning Signs,DIRECTION_TO_ESCAPE_LANE_TO_THE_LEFT_FOR_VEHICLES_UNABLE_TO_STOP_ON_A__817.2LL.svg,1230x1740 mm,817.2,"working drawing p817x2 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
817.2LA,Direction to escape lane ahead for vehicles unable to stop on a steep hill,Warning Signs,DIRECTION_TO_ESCAPE_LANE_AHEAD_FOR_VEHICLES_UNABLE_TO_STOP_ON_A_STEEP__817.2LA.svg,1230x1740 mm,817.2,"working drawing p817x2 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
817.2LYD200,200 yards to escape lane to the left for vehicles unable to stop on a steep hill,Warning Signs,200_YARDS_TO_ESCAPE_LANE_TO_THE_LEFT_FOR_VEHICLES_UNABLE_TO_STOP_ON_A__817.2LYD200.svg,1230x1740 mm,817.2,"working drawing p817x2 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
817.2YD200,200 yards to escape lane ahead for vehicles unable to stop on a steep hill,Warning Signs,200_YARDS_TO_ESCAPE_LANE_AHEAD_FOR_VEHICLES_UNABLE_TO_STOP_ON_A_STEEP__817.2YD200.svg,1230x1740 mm,817.2,"working drawing p817x2 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
817.2,Escape lane ahead for vehicles unable to stop on a steep hill,Warning Signs,ESCAPE_LANE_AHEAD_FOR_VEHICLES_UNABLE_TO_STOP_ON_A_STEEP_HILL_817.2.svg,1230x1740 mm,817.2,"working drawing p817x2 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
817.2L,Escape lane to left for vehicles unable to stop on a steep hill,Warning Signs,ESCAPE_LANE_TO_LEFT_FOR_VEHICLES_UNABLE_TO_STOP_ON_A_STEEP_HILL_817.2L.svg,1230x1740 mm,817.2,"working drawing p817x2 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
554F,Flood warning sign,Warning Signs,FLOOD_WARNING_SIGN_554F.svg,2337x2053 mm,554.0,"working drawing p554 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
570,Hazard or prohibition extends for 2 miles,Warning Signs,HAZARD_OR_PROHIBITION_EXTENDS_FOR_2_MILES_570.svg,3651x2358 mm,570.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); also in DfT category On-street parking"
554,Ford warning sign,Warning Signs,FORD_WARNING_SIGN_554.svg,3515x3088 mm,554.0,"working drawing p554 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
554G,Gate warning sign,Warning Signs,GATE_WARNING_SIGN_554G.svg,2337x2053 mm,554.0,"working drawing p554 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
528,Hump bridge ahead,Warning Signs,HUMP_BRIDGE_AHEAD_528.svg,600x527 mm,528.0,600 mm (working drawing p528; alternatives 750/900/1200)
526,Drivers should keep in low gear for steep hill or tight bend,Warning Signs,DRIVERS_SHOULD_KEEP_IN_LOW_GEAR_FOR_STEEP_HILL_OR_TIGHT_BEND_526.svg,1867x1048 mm,526.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
527,Drivers should keep in low gear for 1.5 miles,Warning Signs,DRIVERS_SHOULD_KEEP_IN_LOW_GEAR_FOR_1_5_MILES_527.svg,2417x1048 mm,527.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
525,Drivers should engage low gear for steep hill,Warning Signs,DRIVERS_SHOULD_ENGAGE_LOW_GEAR_FOR_STEEP_HILL_525.svg,1968x1048 mm,525.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
554N,No smoking warning,Warning Signs,NO_SMOKING_WARNING_554N.svg,2331x2048 mm,554.0,"working drawing p554 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
529,Opening or swing bridge ahead,Warning Signs,OPENING_OR_SWING_BRIDGE_AHEAD_529.svg,600x527 mm,529.0,600 mm (working drawing p529; alternatives 750/900/1200/1500)
555,Quayside or river bank ahead,Warning Signs,QUAYSIDE_OR_RIVER_BANK_AHEAD_555.svg,600x527 mm,555.0,600 mm (working drawing p555; alternatives 750/900/1200)
581,Side winds likely ahead,Warning Signs,SIDE_WINDS_LIKELY_AHEAD_581.svg,600x527 mm,581.0,600 mm (working drawing p581; alternatives 750/900/1200/1500)
557,Slippery road ahead,Warning Signs,SLIPPERY_ROAD_AHEAD_557.svg,600x527 mm,557.0,600 mm (working drawing p557; alternatives 750/900/1200/1500)
556.2,Soft verges for 2 miles,Warning Signs,SOFT_VERGES_FOR_2_MILES_556.2.svg,4461x1959 mm,556.2,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
556.1,Soft verges ahead,Warning Signs,SOFT_VERGES_AHEAD_556.1.svg,600x527 mm,556.1,600 mm (working drawing p556x1; alternatives 750/900/1200/1500)
523.1,Steep hill downwards ahead (10%),Warning Signs,STEEP_HILL_DOWNWARDS_AHEAD_10_523.1.svg,1936x1701 mm,523.1,"working drawing p523x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
524.1,Steep hill upwards ahead (20%),Warning Signs,STEEP_HILL_UPWARDS_AHEAD_20_524.1.svg,600x527 mm,524.1,600 mm (working drawing p524x1; alternatives 750/900/1200/1500)
554.1,Risk of brake failure after crossing a ford or before descending a steep gradient,Warning Signs,RISK_OF_BRAKE_FAILURE_AFTER_CROSSING_A_FORD_OR_BEFORE_DESCENDING_A_STE_554.1.svg,600x527 mm,554.1,600 mm (working drawing p554x1; alternatives 750/900/1200/1500/100/125)
529.1,Tunnel ahead,Warning Signs,TUNNEL_AHEAD_529.1.svg,600x527 mm,529.1,600 mm (working drawing p529x1; alternatives 750/900/1200/1500)
556,Uneven road ahead,Warning Signs,UNEVEN_ROAD_AHEAD_556.svg,600x527 mm,556.0,600 mm (working drawing p556; alternatives 750/900/1200/1500)
555.1,Water course alongside road ahead,Warning Signs,WATER_COURSE_ALONGSIDE_ROAD_AHEAD_555.1.svg,600x530 mm,555.1,600 mm (working drawing p555x1; alternatives 750/900/1200)
563V2,Blasting danger ahead,Warning Signs,BLASTING_DANGER_AHEAD_563V2.svg,4551x1708 mm,563.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
547.4B,Blind pedestrians likely to cross road ahead,Warning Signs,BLIND_PEDESTRIANS_LIKELY_TO_CROSS_ROAD_AHEAD_547.4B.svg,3991x2640 mm,547.4,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
563V3,Blind summit ahead,Warning Signs,BLIND_SUMMIT_AHEAD_563V3.svg,4109x2629 mm,563.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
547.4,Disabled pedestrians likely to cross road ahead,Warning Signs,DISABLED_PEDESTRIANS_LIKELY_TO_CROSS_ROAD_AHEAD_547.4.svg,4384x2640 mm,547.4,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
563V5,Dust cloud danger ahead,Warning Signs,DUST_CLOUD_DANGER_AHEAD_563V5.svg,3258x2620 mm,563.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
562,Other danger ahead. Plate beneath indicates the nature of the hazard,Warning Signs,OTHER_DANGER_AHEAD_PLATE_BENEATH_INDICATES_THE_NATURE_OF_THE_HAZARD_562.svg,600x527 mm,562.0,600 mm (working drawing p562; alternatives 750/900/1200/1500); also in DfT category Miscellaneous
563V6,Fallen tree ahead,Warning Signs,FALLEN_TREE_AHEAD_563V6.svg,3573x2633 mm,563.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
563.1,Warning of light signals in the vicinity of a fire station,Warning Signs,WARNING_OF_LIGHT_SIGNALS_IN_THE_VICINITY_OF_A_FIRE_STATION_563.1.svg,1874x2733 mm,563.1,"working drawing p563x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
544.2,Frail or disabled pedestrians likely to cross road ahead,Warning Signs,FRAIL_OR_DISABLED_PEDESTRIANS_LIKELY_TO_CROSS_ROAD_AHEAD_544.2.svg,600x527 mm,544.2,600 mm (working drawing p544x2; alternatives 750/900/1200)
563V8,Frost damage ahead,Warning Signs,FROST_DAMAGE_AHEAD_563V8.svg,4318x2613 mm,563.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
558.2,Gliders likely ahead,Warning Signs,GLIDERS_LIKELY_AHEAD_558.2.svg,4020x1697 mm,558.2,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
563V9,Hidden dip ahead,Warning Signs,HIDDEN_DIP_AHEAD_563V9.svg,4031x2622 mm,563.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
554.3,Ice ahead,Warning Signs,ICE_AHEAD_554.3.svg,2236x1698 mm,554.3,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
554.2,Risk of ice or packed snow ahead,Warning Signs,RISK_OF_ICE_OR_PACKED_SNOW_AHEAD_554.2.svg,600x527 mm,554.2,600 mm (working drawing p554x2; alternatives 750/900/1200/1500)
558,Low flying aircraft or sudden aircraft noise likely ahead,Warning Signs,LOW_FLYING_AIRCRAFT_OR_SUDDEN_AIRCRAFT_NOISE_LIKELY_AHEAD_558.svg,600x527 mm,558.0,600 mm (working drawing p558; alternatives 750/900/1200/1500)
558.1,Low flying helicopters or sudden helicopter noise likely ahead,Warning Signs,LOW_FLYING_HELICOPTERS_OR_SUDDEN_HELICOPTER_NOISE_LIKELY_AHEAD_558.1.svg,600x527 mm,558.1,600 mm (working drawing p558x1; alternatives 750/900/1200/1500)
582,Slow moving military vehicles likely to be crossing or in the road,Warning Signs,SLOW_MOVING_MILITARY_VEHICLES_LIKELY_TO_BE_CROSSING_OR_IN_THE_ROAD_582.svg,600x527 mm,582.0,600 mm (working drawing p582; alternatives 750/900/1200/1500)
547.3,No footway for 400 yards,Warning Signs,NO_FOOTWAY_FOR_400_YARDS_547.3.svg,6121x2620 mm,547.3,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
563V10,Overhead cable repairs ahead,Warning Signs,OVERHEAD_CABLE_REPAIRS_AHEAD_563V10.svg,5060x3522 mm,563.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
544.1,Pedestrians in road ahead,Warning Signs,PEDESTRIANS_IN_ROAD_AHEAD_544.1.svg,600x527 mm,544.1,600 mm (working drawing p544x1; alternatives 750/900/1200)
584.1,Traffic queues likely on road ahead,Warning Signs,TRAFFIC_QUEUES_LIKELY_ON_ROAD_AHEAD_584.1.svg,1640x1020 mm,584.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
584,Traffic queues likely on road ahead,Warning Signs,TRAFFIC_QUEUES_LIKELY_ON_ROAD_AHEAD_584.svg,1925x1701 mm,584.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
559,Risk of falling or fallen rocks ahead,Warning Signs,RISK_OF_FALLING_OR_FALLEN_ROCKS_AHEAD_559.svg,600x527 mm,559.0,600 mm (working drawing p559; alternatives 750/900/1200/1500)
563V12,Road liable to flooding ahead,Warning Signs,ROAD_LIABLE_TO_FLOODING_AHEAD_563V12.svg,4491x3529 mm,563.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
583.1,Distance over which slow moving vehicles likely to be encountered ahead,Warning Signs,DISTANCE_OVER_WHICH_SLOW_MOVING_VEHICLES_LIKELY_TO_BE_ENCOUNTERED_AHEA_583.1.svg,5543x2350 mm,583.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
583,Slow moving vehicles likely on incline ahead,Warning Signs,SLOW_MOVING_VEHICLES_LIKELY_ON_INCLINE_AHEAD_583.svg,600x527 mm,583.0,600 mm (working drawing p583; alternatives 750/900/1200/1500)
563V14,Smoke danger ahead,Warning Signs,SMOKE_DANGER_AHEAD_563V14.svg,3874x1708 mm,563.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
554.3A,Snowdrifts ahead,Warning Signs,SNOWDRIFTS_AHEAD_554.3A.svg,3358x2620 mm,554.3,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
544,Zebra crossing ahead,Warning Signs,ZEBRA_CROSSING_AHEAD_544.svg,600x527 mm,544.0,600 mm (working drawing p544; alternatives 750/900); also in DfT category Traffic calming
550.1,Accompanied horses or ponies likely to be in or crossing road ahead,Warning Signs,ACCOMPANIED_HORSES_OR_PONIES_LIKELY_TO_BE_IN_OR_CROSSING_ROAD_AHEAD_550.1.svg,600x527 mm,550.1,600 mm (working drawing p550x1; alternatives 750/900/1200/1500)
574,Area infected by animal disease ahead,Warning Signs,AREA_INFECTED_BY_ANIMAL_DISEASE_AHEAD_574.svg,5636x3357 mm,574.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
547.7VB,Blind children likely to cross road ahead,Warning Signs,BLIND_CHILDREN_LIKELY_TO_CROSS_ROAD_AHEAD_547.7VB.svg,4718x2610 mm,547.7,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
545,Children going to or from school or playground ahead,Warning Signs,CHILDREN_GOING_TO_OR_FROM_SCHOOL_OR_PLAYGROUND_AHEAD_545.svg,600x527 mm,545.0,600 mm (working drawing p545; alternatives 750/900/1200)
547.7VD,Deaf children likely to cross road ahead,Warning Signs,DEAF_CHILDREN_LIKELY_TO_CROSS_ROAD_AHEAD_547.7VD.svg,4718x2610 mm,547.7,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
547.7,Disabled children likely to cross road ahead,Warning Signs,DISABLED_CHILDREN_LIKELY_TO_CROSS_ROAD_AHEAD_547.7.svg,4718x2610 mm,547.7,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
553.2,Agricultural vehicles likely to be in road ahead,Warning Signs,AGRICULTURAL_VEHICLES_LIKELY_TO_BE_IN_ROAD_AHEAD_553.2.svg,6167x1698 mm,553.2,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
550.2,Horse drawn vehicles likely to be in road ahead,Warning Signs,HORSE_DRAWN_VEHICLES_LIKELY_TO_BE_IN_ROAD_AHEAD_550.2.svg,600x530 mm,550.2,600 mm (working drawing p550x2; alternatives 750/900/1200)
551.1,Migratory toad crossing ahead,Warning Signs,MIGRATORY_TOAD_CROSSING_AHEAD_551.1.svg,600x527 mm,551.1,600 mm (working drawing p551x1; alternatives 750/900/1200)
547.1,School crossing patrol ahead,Warning Signs,SCHOOL_CROSSING_PATROL_AHEAD_547.1.svg,3591x1698 mm,547.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
547.2,Children's playground ahead,Warning Signs,CHILDREN_S_PLAYGROUND_AHEAD_547.2.svg,5908x1698 mm,547.2,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
546,School ahead,Warning Signs,SCHOOL_AHEAD_546.svg,3958x1698 mm,546.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
549,Sheep likely to be in road ahead,Warning Signs,SHEEP_LIKELY_TO_BE_IN_ROAD_AHEAD_549.svg,600x527 mm,549.0,600 mm (working drawing p549; alternatives 750/900/1200/1500)
553.1,Agricultural vehicles likely to be in road ahead,Warning Signs,AGRICULTURAL_VEHICLES_LIKELY_TO_BE_IN_ROAD_AHEAD_553.1.svg,600x527 mm,553.1,600 mm (working drawing p553x1; alternatives 750/900/1200/1500)
551,Wild animals likely to be in road ahead,Warning Signs,WILD_ANIMALS_LIKELY_TO_BE_IN_ROAD_AHEAD_551.svg,600x527 mm,551.0,600 mm (working drawing p551; alternatives 750/900/1200/1500)
551.2,Wild fowl likely to be in road ahead,Warning Signs,WILD_FOWL_LIKELY_TO_BE_IN_ROAD_AHEAD_551.2.svg,600x527 mm,551.2,600 mm (working drawing p551x2; alternatives 750/900/1200)
550,Wild horses or ponies likely to be in road ahead,Warning Signs,WILD_HORSES_OR_PONIES_LIKELY_TO_BE_IN_ROAD_AHEAD_550.svg,600x527 mm,550.0,600 mm (working drawing p550; alternatives 750/900/1200/1500)
552,Cattle grid ahead,Warning Signs,CATTLE_GRID_AHEAD_552.svg,600x527 mm,552.0,600 mm (working drawing p552; alternatives 750/900/1200/100)
548,Cattle likely to be in road ahead,Warning Signs,CATTLE_LIKELY_TO_BE_IN_ROAD_AHEAD_548.svg,600x527 mm,548.0,600 mm (working drawing p548; alternatives 750/900/1200/1500)
553,By-pass of cattle grid for horse drawn vehicles,Warning Signs,BY_PASS_OF_CATTLE_GRID_FOR_HORSE_DRAWN_VEHICLES_553.svg,2591x1882 mm,553.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
548.1,Supervised cattle crossing 200 yards ahead,Warning Signs,SUPERVISED_CATTLE_CROSSING_200_YARDS_AHEAD_548.1.svg,200x121 mm,548.1,200 mm (working drawing p548x1; alternatives 150)
602,Give way to traffic on the major road,Regulatory Signs,GIVE_WAY_TO_TRAFFIC_ON_THE_MAJOR_ROAD_602.svg,600x527 mm,602.0,600 mm (working drawing p602; alternatives 750/114/900/152/1200/190/1500)
601.1,Stop before crossing the traverse line on the road and ensure the way is clear before entering a major road,Regulatory Signs,STOP_BEFORE_CROSSING_THE_TRAVERSE_LINE_ON_THE_ROAD_AND_ENSURE_THE_WAY__601.1.svg,750x750 mm,601.1,750 mm (working drawing p601x1; alternatives 900/210/150/280/200/264/352); 1 stroked path(s) outlined with Inkscape
