code,file,drawn_size_mm,legend,check,intervene,notes
R6-28-Q01,Regulatory Signs/TRUCKS_AND_BUSES_USE_LEFT_LANE_WHITE_TALL_R6-28-Q01.svg,1000x1100,TRUCKS & BUSES USE LEFT LANE,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R6-28-Q01 'Trucks & buses use left lane' (2022/2023). 1000 x 1100, r100, 15 / 45 (edge 15 + border 30). Chain 110 / 120E / 70 / 120E / 70 / 120E / 70 / 120E / 70 / 120E / 110 = 1100: cap tops 110, 300, 490, 680, 870. Widths 154/692/154 TRUCKS, 124/751/125 the '& BUSES' line, 334/332/334 USE, 292/415/293 LEFT, 269/461/270 LANE; AS 1744 Series E reproduces them within 1 mm, and the '& BUSES' gap 75 follows from 751 - 108 - 568. BUSES is the sheet's dashed 'insert appropriate vehicle' box (BUSES shown). Black on white."
R6-3-Q01,Regulatory Signs/RAMP_LOAD_LIMIT_80_t_GROSS_WHITE_TALL_R6-3-Q01.svg,600x900,RAMP LOAD LIMIT 80 t GROSS,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R6-3-Q01 'Ramp load limit ...t gross' (2014/2016), the ramp version of the national R6-3. Size R6-3-Q01A 600 x 900 generated (B 900 x 1350 also tabled), r 50, d 10 / c 30 (edge 10 + border 20; the sheet's c/d labels are swapped against its other sheets, the drawing puts the 10 at the top edge). Chain e 80 / f 100DM / g 60 / f / g / f / g / h 100E numerals + 100E(lc) t / g / f / e = 900: cap tops 80, 240, 400, 560, 720 (as the national R6-3). 'DM' read as Series D (the M suffix taken as TMR's 'modified' series label, spacing kept AS 1744 normal); tonnage numerals 100 E 'insert appropriate gross load limit' (80 shown as on the national R6-3), t lower-case Series E(M) at the 100 cap height; numeral-to-t gap not stated, 30 as R6-3 (about 30 measured on the sheet). Black on white."
R6-33-Q01,Regulatory Signs/OVERALL_WIDTH_LIMIT_3.5_m_WHITE_TALL_R6-33-Q01.svg,1200x1350,OVERALL WIDTH LIMIT 3.5 m,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R6-33-Q01 'Overall width limit ...m' traffic instruction sign (2022). 1200 x 1350, R100, 15 / 45 (edge 15 + border 30). Chain 135 / 180D / 120 / 180D / 120 / 180D / 120 / 180E numerals with 150Em 'm' / 135 = 1350: cap tops 135, 435, 735, 1035 (numerals and m share the baseline). Width numerals 'insert appropriate width, e.g. 3.5' (3.5 shown, dashed box on the sheet); numeral-to-m gap not stated, 75 measured from the sheet's live text. Black on white."
R6-6-Q01,Regulatory Signs/STOP_HERE_ON_RED_SIGNAL_RED_LONG_R6-6-Q01.svg,1200x600,STOP HERE ON RED SIGNAL,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R6-6-Q01 'Stop here on red signal' multi-message sign plate (2017/2020), 1200 x 600 across two 600 x 600 panels of a multi-message frame, used in lieu of R6-6. Black border 25, square corners (drawn without radius or edge, as the national RM plates). Chain 120 / 150D / 100 / 110D / 120 = 600: cap tops 120 and 370. Red legend on white. Word gaps not stated: 87 and 66 measured from the sheet's drawing (lines 1045 and 1041 wide inside the 1150)."
R6-Q03-1,Regulatory Signs/AUTHORISED_BUSES_ONLY_BEYOND_THIS_POINT_WHITE_TALL_R6-Q03-1.svg,600x700,AUTHORISED BUSES ONLY BEYOND THIS POINT,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R6-Q03_1 'Authorised buses only beyond this point' (2010/2016; pages 2-3 are busway layouts). Size A 600 x 700 generated (B 900 x 1000, C 1200 x 1300 also tabled), r 50, c 10 / d 30. Chain e 65 / f 70C / g 55 / f / g / f / g / f / g / f / e = 700: cap tops 65, 190, 315, 440, 565. THIS POINT word gap not stated: 38 measured from the sheet's drawing (line 396 wide). Black on white."
R7-3-Q01-1(L),Regulatory Signs/LEFT_2_LANES_WHITE_LONG_R7-3-Q01-1(L).svg,600x400,LEFT 2 LANES,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R7-3-Q01_1 'Right / left 2 lanes' (2017; page 2 shows the sign combinations). The sheet draws R7-3-Q01R with R7-3-Q01L as a small example: hands (L) LEFT / (R) RIGHT, text only. Size B 600 x 400 generated to match the national R6-10 (600) and R7-3 (600 x 400) it is mounted with (A 450 x 300, C 900 x 600, D 1200 x 800 also tabled): r 50, c 10 / d 30; chain e 75 / h 100E / g 50 / f 100C / e 75 = 400: cap tops 75 and 225. '2 LANES' gap not stated: 57 at size B (43 measured on the sheet's size-A drawing, scaled with the letters). Black on white."
R7-3-Q01-1(R),Regulatory Signs/RIGHT_2_LANES_WHITE_LONG_R7-3-Q01-1(R).svg,600x400,RIGHT 2 LANES,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R7-3-Q01_1 'Right / left 2 lanes' (2017; page 2 shows the sign combinations). The sheet draws R7-3-Q01R with R7-3-Q01L as a small example: hands (L) LEFT / (R) RIGHT, text only. Size B 600 x 400 generated to match the national R6-10 (600) and R7-3 (600 x 400) it is mounted with (A 450 x 300, C 900 x 600, D 1200 x 800 also tabled): r 50, c 10 / d 30; chain e 75 / h 100E / g 50 / f 100C / e 75 = 400: cap tops 75 and 225. '2 LANES' gap not stated: 57 at size B (43 measured on the sheet's size-A drawing, scaled with the letters). Black on white."
R7-3-Q02,Regulatory Signs/LEFT_AND_RIGHT_LANES_WHITE_SQUARE_R7-3-Q02.svg,600x550,LEFT & RIGHT LANES,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R7-3-Q02 'Left & right lanes' supplementary plate under R6-10-2 (2019). Size A 600 x 550 generated (B 900 x 800, C 1200 x 1100 also tabled), r 50, c 10 / d 30. Chain e 70 / f 100D / g 55 / f / g / f / e = 550: cap tops 70, 225, 380. 'LEFT &' gap not stated: 56 measured from the sheet's drawing (line 430 wide). Black on white."
R7-3-Q03,Regulatory Signs/KERB_LANES_WHITE_LONG_R7-3-Q03.svg,600x400,KERB LANES,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R7-3-Q03 'Kerb lanes' supplementary plate (2019). Size B 600 x 400 generated to match the national R6-10-2 (600) it sits under (A 450 x 300, C 900 x 600, D 1200 x 800 also tabled): r 25, c 5 / d 15 (edge 5 + border 10 at size B per the table); chain e 75 / f 100E / g 50 / f 100E / e 75 = 400: cap tops 75 and 225. Black on white."
R7-Q01(L),Regulatory Signs/AHEAD_ARROW_WHITE_LONG_R7-Q01(L).svg,600x300,AHEAD (arrow),ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R7-Q01 'AHEAD - arrow (L & R)' (1995/2016), for use with the R7-1 signs. Size R7-Q01C 600 x 300 generated (D 900 x 450 also tabled), r 25, c 5 / d 15. Chain e 50 / h 80E / g 40 / f 80 (arrow) / e 50 = 300: AHEAD cap top 50, arrow 170-250, k 300 long centred (150 each side). The arrow's own geometry is not detailed on the sheet: the AS 1743 W8-3 supplementary-plate arrow (400 x 100: head 92 long, shaft 39 tapering to 29, notch 9, R5) fitted to the 300 x 80 box, as R9-Q05 refers to it for the same arrow. Drawn (L), the arrow pointing left; (R) mirrored. Black on white."
R7-Q01(R),Regulatory Signs/AHEAD_ARROW_WHITE_LONG_R7-Q01(R).svg,600x300,AHEAD (arrow),ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R7-Q01 'AHEAD - arrow (L & R)' (1995/2016), for use with the R7-1 signs. Size R7-Q01C 600 x 300 generated (D 900 x 450 also tabled), r 25, c 5 / d 15. Chain e 50 / h 80E / g 40 / f 80 (arrow) / e 50 = 300: AHEAD cap top 50, arrow 170-250, k 300 long centred (150 each side). The arrow's own geometry is not detailed on the sheet: the AS 1743 W8-3 supplementary-plate arrow (400 x 100: head 92 long, shaft 39 tapering to 29, notch 9, R5) fitted to the 300 x 80 box, as R9-Q05 refers to it for the same arrow. Drawn (L), the arrow pointing left; (R) mirrored. Black on white."
R9-1-1-Q01,Regulatory Signs/2.30-3.30_PM_SCHOOL_DAYS_WHITE_LONG_R9-1-1-Q01.svg,450x300,2.30 - 3.30 PM SCHOOL DAYS,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R9-1-1-Q01 'Times of operation school days' supplementary plate (2017), 'insert appropriate times' (2.30 - 3.30 PM shown). Size A 450 x 300 generated (B 600 x 400 also tabled), r 50, c 6 / d 18 (edge 6 + border 12). Chains: left k 50 / h 120C (hour numerals) / g 40 / f 45E SCHOOL DAYS / e 45 = 300; right k 50 / p 60C (minutes, superscript) / o 15 / n 45D PM / m 130 = 300: hours and minutes cap top 50, PM top 125, SCHOOL DAYS top 210. Horizontal positions are not dimensioned: ink lefts 40 (2), 119 (30), 255 (3), 331 (30), 338 (PM) and the dash 34 x 10 at x 212, y 97 measured from the sheet's live text and line-work; SCHOOL DAYS gap 24 measured. DISAGREEMENT: the table gives SCHOOL DAYS as 45E, but Series E at 45 is 446 of ink and cannot fit the 414 inside the border; the sheet's drawn line measures 336 (312 of letters + 24 gap), which is Series C at 45 (314) exactly, so Series C is used. Black on white."
R9-Q04-1,Regulatory Signs/CARS_EXCEPTED_WHITE_LONG_R9-Q04-1.svg,450x300,CARS EXCEPTED,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R9-Q04_1 '... excepted (2 lines)' supplementary plate (2022/2023); the exception class is the sheet's dashed 'insert appropriate exception class' box, with the classes it lists (CARS, TAXIS, TRAMS, TRUCKS) generated as variants (longer names take Series C per the sheet note; R9-Q04_2 / _3 give the 3- and 4-line plates). Size A 450 x 300 generated (B 600 x 400, C 750 x 500 also tabled), r 25, c 5 / d 15. Chain e 65 / f 60D / g 50 / f 60D / e 65 = 300: cap tops 65 and 175. Black on white."
R9-Q04-1,Regulatory Signs/TAXIS_EXCEPTED_WHITE_LONG_R9-Q04-1.svg,450x300,TAXIS EXCEPTED,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R9-Q04_1 '... excepted (2 lines)' supplementary plate (2022/2023); the exception class is the sheet's dashed 'insert appropriate exception class' box, with the classes it lists (CARS, TAXIS, TRAMS, TRUCKS) generated as variants (longer names take Series C per the sheet note; R9-Q04_2 / _3 give the 3- and 4-line plates). Size A 450 x 300 generated (B 600 x 400, C 750 x 500 also tabled), r 25, c 5 / d 15. Chain e 65 / f 60D / g 50 / f 60D / e 65 = 300: cap tops 65 and 175. Black on white."
R9-Q04-1,Regulatory Signs/TRAMS_EXCEPTED_WHITE_LONG_R9-Q04-1.svg,450x300,TRAMS EXCEPTED,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R9-Q04_1 '... excepted (2 lines)' supplementary plate (2022/2023); the exception class is the sheet's dashed 'insert appropriate exception class' box, with the classes it lists (CARS, TAXIS, TRAMS, TRUCKS) generated as variants (longer names take Series C per the sheet note; R9-Q04_2 / _3 give the 3- and 4-line plates). Size A 450 x 300 generated (B 600 x 400, C 750 x 500 also tabled), r 25, c 5 / d 15. Chain e 65 / f 60D / g 50 / f 60D / e 65 = 300: cap tops 65 and 175. Black on white."
R9-Q04-1,Regulatory Signs/TRUCKS_EXCEPTED_WHITE_LONG_R9-Q04-1.svg,450x300,TRUCKS EXCEPTED,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R9-Q04_1 '... excepted (2 lines)' supplementary plate (2022/2023); the exception class is the sheet's dashed 'insert appropriate exception class' box, with the classes it lists (CARS, TAXIS, TRAMS, TRUCKS) generated as variants (longer names take Series C per the sheet note; R9-Q04_2 / _3 give the 3- and 4-line plates). Size A 450 x 300 generated (B 600 x 400, C 750 x 500 also tabled), r 25, c 5 / d 15. Chain e 65 / f 60D / g 50 / f 60D / e 65 = 300: cap tops 65 and 175. Black on white."
R9-Q04-2,Regulatory Signs/AUTHORISED_BUSES_EXCEPTED_WHITE_LONG_R9-Q04-2.svg,450x300,AUTHORISED BUSES EXCEPTED,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R9-Q04_2 '... excepted (3 lines)' supplementary plate (2022/2023); the two class lines are the sheet's dashed 'insert appropriate exception class' boxes, generated for each two-line class the sheet lists (the '[COUNCIL] BUSES' and '...t GVM AND UNDER' entries with optional or blank words are left out, and CONSTRUCTION VEHICLES, whose CONSTRUCTION is 476 wide at 50 D and would need the sheet's 'longer names use Series C' option, is not generated here). The vary values are dicts (l1 / l2 / name / leg) so one spec carries both lines. Size A 450 x 300 generated (B 600 x 400, C 750 x 500 also tabled), r 25, c 5 / d 15. Chain h 45 / f 50D / g 30 / f 50D / g 30 / f 50D EXCEPTED / e 45 = 300: cap tops 45, 125, 205. Word gaps within a line (AND TAXIS) the font's word space. Black on white."
