code,name,family,file,size,register_dimensions,notes
RJH2,"Heavy vehicle bridge limit, 2 panels",Regulatory Signs,HEAVY_VEHICLE_BRIDGE_LIMIT_2_PANELS_RJH2.svg,900x750 mm,a : 900 b : 750 r : 60 c : 10 d : 25 e : 50 OPTION 1 Type LINE 1 & 2 100B Type LINE 3 75D Type LINE 3 'kg' Transport D Med 100 (x height = 50) Type LINE 4 'GROSS' 70D Type LINE 4 '70 OF CLASS 1' 70B Type LINE 4 '%' Transport D Med 70 (x height = 35) OPTION 2 Type LINE 1 & 2 100B Type LINE 3 75D Type LINE 3 'kg' Transport D Med 100 (x height = 50) Type LINE 4 'GROSS 4600' 75D Type LINE 4 'KG' Trans,
RJH2,"Heavy vehicle bridge limit, 2 panels",Regulatory Signs,HEAVY_VEHICLE_BRIDGE_LIMIT_2_PANELS_VAR2_RJH2.svg,900x750 mm,a : 900 b : 750 r : 60 c : 10 d : 25 e : 50 OPTION 1 Type LINE 1 & 2 100B Type LINE 3 75D Type LINE 3 'kg' Transport D Med 100 (x height = 50) Type LINE 4 'GROSS' 70D Type LINE 4 '70 OF CLASS 1' 70B Type LINE 4 '%' Transport D Med 70 (x height = 35) OPTION 2 Type LINE 1 & 2 100B Type LINE 3 75D Type LINE 3 'kg' Transport D Med 100 (x height = 50) Type LINE 4 'GROSS 4600' 75D Type LINE 4 'KG' Trans,
RJH3,"Heavy vehicle bridge limit, 3 panels",Regulatory Signs,HEAVY_VEHICLE_BRIDGE_LIMIT_3_PANELS_RJH3.svg,900x900 mm,a : 900 b : 900 r : 60 c : 10 d : 25 e : 50 Type LINE 1 & 2 100B Type LINE 3 75D Type LINE 3 'kg' Transport D Med 100 (x height = 50) Type LINE 4 'GROSS' 70D Type LINE 4 '70 OF CLASS 1' 70B Type LINE 4 '%' Transport D Med 70 (x height = 35) Type LINE 5 'SPEED 70' 75D Type LINE 5 'km/h' Transport D Med 100 (x height = 50),
RJH4,"Heavy vehicle bridge limit, axle sets",Regulatory Signs,HEAVY_VEHICLE_BRIDGE_LIMIT_AXLE_SETS_RJH4.svg,1200x1050 mm,a: 1200 b: 1050 r: 80 c: 10 d: 25 e: 50 f: 100 Type LINE 1 and 2: 100B Type LINE 3: 75D Type LINE 3 'T': Transport Med (x height = 50),
RJH7,"Heavy vehicle bridge limit, combined limit restriction horizontal Option B",Regulatory Signs,HEAVY_VEHICLE_BRIDGE_LIMIT_COMBINED_LIMIT_RESTRICTION_HORIZONTAL_OPTION_B_RJH7.svg,3044x1470 mm,"a: 2800 b: 1300 r: 100 c: 10 d: 25 e: 50 f: 100 Type LINE 1 100B Type LINE 2, 3 and 8 75D Type LINE 4 to 7, 2 columns [number of axles and gross weight] 75D Type LINE 4 to 8 'T' or ‘km/h’ Transport Med (x height = 50)",drawn width 3044 mm vs register 2800 mm — check; 1 stroked path(s) ignored
RJH6,"Heavy vehicle bridge limit, combined limit restriction, vertical Option A",Regulatory Signs,HEAVY_VEHICLE_BRIDGE_LIMIT_COMBINED_LIMIT_RESTRICTION_VERTICAL_OPTION_A_RJH6.svg,1798x2013 mm,"a: 1650 b: 1950 r: 100 c: 10 d: 25 e: 50 f: 100 Type LINE 1 100B Type LINE 2, 7, 8 and 13 75D Type LINE 3 to 6 and 9 to 12, 2 columns [number of axles and gross weight] 75D Type LINE 3 to 6 and 9 to 12 'T' including LINE 13 'km/h' Transport Med (x height = 50)",drawn width 1798 mm vs register 1650 mm — check; 1 stroked path(s) ignored
RJH5,"Heavy vehicle bridge limit, number of axles and gross weight",Regulatory Signs,HEAVY_VEHICLE_BRIDGE_LIMIT_NUMBER_OF_AXLES_AND_GROSS_WEIGHT_RJH5.svg,1650x1200 mm,a: 1650 b: 1200 height to fit text r: 100 c: 10 d: 25 e: 50 f: 470 Type LINE 1 and 2 100B Type LINE 3 75D Type LINE 4 to 7 ‘ 2 columns [number of axles and gross weight]' 75D Type LINE 4 to 7 'T' Transport Med 100 (x height = 50),1 stroked path(s) ignored
RLC1,Heavy vehicle lane [truck symbol],Regulatory Signs,HEAVY_VEHICLE_LANE_TRUCK_SYMBOL_RLC1.svg,600x600 mm,a : 600 b : 600 r : 60 c : 10 d : 15 Type 120D e : 90 symbol truck wxh 320 x 160,
RS54,Motorway begins threshold,Regulatory Signs,MOTORWAY_BEGINS_THRESHOLD_RS54.svg,1200x1600 mm,a : 1200 b : 1600 r : 110 c : 600 d : 100 e : 20 f : 60 g : 310 Symbols R5-2 No pedestrians and R5-1 No cycling TEXT 120C,
RS53,Motorway ends threshold,Regulatory Signs,MOTORWAY_ENDS_THRESHOLD_RS53.svg,900x1200 mm,a : 900 b : 1200 r : 80 c : 600 d : 100 e : 20 f : 60 TEXT 120C,
RS56,Motorway or Expressway Threshold,Regulatory Signs,MOTORWAY_OR_EXPRESSWAY_THRESHOLD_RS56.svg,2123x2825 mm,"a 900 mm 1200 mm 1500 mm 1800 mm b 1200 mm 1500 mm 1800 mm 2400 mm c 25 mm 30 mm 40 mm 50 mm r 80 mm 100 mm 120 mm 150 mm d 600 mm 750 mm 900 mm 1200 mm e 20 mm 25 mm 30 mm 40 mm Speed limit sign details As for RS1, RS2 or RS4 signs As for RS1, RS2 or RS4 signs As for RS1, RS2 or RS4 signs As for RS1, RS2 or RS4 signs “Waikato” 120 mm series D 150 mm series D 180 mm series D 240 mm series D “Expre",drawn width 2123 mm vs register 900/1200/1500/1800 mm — check; 1 stroked path(s) ignored
RS56,Motorway or Expressway Threshold,Regulatory Signs,MOTORWAY_OR_EXPRESSWAY_THRESHOLD_VAR2_RS56.svg,1808x2098 mm,"a 900 mm 1200 mm 1500 mm 1800 mm b 1200 mm 1500 mm 1800 mm 2400 mm c 25 mm 30 mm 40 mm 50 mm r 80 mm 100 mm 120 mm 150 mm d 600 mm 750 mm 900 mm 1200 mm e 20 mm 25 mm 30 mm 40 mm Speed limit sign details As for RS1, RS2 or RS4 signs As for RS1, RS2 or RS4 signs As for RS1, RS2 or RS4 signs As for RS1, RS2 or RS4 signs “Waikato” 120 mm series D 150 mm series D 180 mm series D 240 mm series D “Expre",1 stroked path(s) ignored
RS56,Motorway or Expressway Threshold,Regulatory Signs,MOTORWAY_OR_EXPRESSWAY_THRESHOLD_VAR3_RS56.svg,1476x1883 mm,"a 900 mm 1200 mm 1500 mm 1800 mm b 1200 mm 1500 mm 1800 mm 2400 mm c 25 mm 30 mm 40 mm 50 mm r 80 mm 100 mm 120 mm 150 mm d 600 mm 750 mm 900 mm 1200 mm e 20 mm 25 mm 30 mm 40 mm Speed limit sign details As for RS1, RS2 or RS4 signs As for RS1, RS2 or RS4 signs As for RS1, RS2 or RS4 signs As for RS1, RS2 or RS4 signs “Waikato” 120 mm series D 150 mm series D 180 mm series D 240 mm series D “Expre",1 stroked path(s) ignored
RJ72,No campervan waste,Regulatory Signs,NO_CAMPERVAN_WASTE_RJ72.svg,600x600 mm,a : 400 600 b : 50 75 c : 35 50 Campervan Waste Symbol w x h 200 x 200 300 x 300,
RJ71,No camping,Regulatory Signs,NO_CAMPING_RJ71.svg,600x800 mm,a : 600 b : 800 r : 60 c : 10 d : 30 e : 20 f : 40 g : circle diamteter 400 h : circle border 50 I : diagonal bar on circle 35 Type Transport D Medium x = 50 Camping & Campervan Symbol w x h 240 x 300,
RJ81,No cruising zone,Regulatory Signs,NO_CRUISING_ZONE_RJ81.svg,600x600 mm,a : 600 b : 600 r : 60 c : 10 d : 15 e : 50 Type : 100C,
RJ82,No cruising zone begins,Regulatory Signs,NO_CRUISING_ZONE_BEGINS_RJ82.svg,600x700 mm,a : 600 b : 700 r : 60 c : 10 d : 15 e : 50 Type : 100C,
RJ85,No cruising zone begins with time period,Regulatory Signs,NO_CRUISING_ZONE_BEGINS_WITH_TIME_PERIOD_RJ85.svg,600x800 mm,a : 600 b : 800 r : 60 c : 10 d : 15 e : 50 Type : 100C Numerals (Time) : Transport D Medium x = 32.5,1 stroked path(s) ignored
RJ83,No cruising zone ends,Regulatory Signs,NO_CRUISING_ZONE_ENDS_RJ83.svg,600x700 mm,a : 600 b : 700 r : 60 c : 10 d : 15 e : 50 Type : 100C,
RJ86,No cruising zone ends with time period,Regulatory Signs,NO_CRUISING_ZONE_ENDS_WITH_TIME_PERIOD_RJ86.svg,600x800 mm,a : 600 b : 800 r : 60 c : 10 d : 15 e : 50 Type : 100C Numerals (Time) : Transport D Medium x = 32.5,
RJ84,No cruising zone with time period,Regulatory Signs,NO_CRUISING_ZONE_WITH_TIME_PERIOD_RJ84.svg,600x700 mm,a : 600 b : 700 r : 60 c : 10 d : 15 e : 50 Type : 100C Numerals (Time) : Transport D Medium x = 32.5,
RS63,Riverbed 60km / 30km,Regulatory Signs,RIVERBED_60KM_30KM_RS63.svg,824x1690 mm,a: 800 b: 1620 c: 1350 d: 250 e: 730 f: 600 g: 540 h: 400 i: 242 j: 137 k: 180 l: 212 m: 100 n: 45 o: 20 p: 10 q: 50 r: 80 r2: 50 s: 30 t: 75 Text: Series D 100 Numerals: 60 200 Numerals: 30 135,2 stroked path(s) ignored
RS55,Safer Speed Area Threshold,Regulatory Signs,SAFER_SPEED_AREA_THRESHOLD_RS55.svg,1200x1900 mm,"a 750 (approach speed < 60 km/h) 900 (approach speed 60 - 80 km/h) 1200 (approach speed > 80 km/h) b 1200 (approach speed < 60 km/h) 1500 (approach speed 60 - 80 km/h) 1900 (approach speed > 80 km/h) r 60 60 60 c 30 30 30 d 46 57 70 Legend 'R1-1' Diameter 600 (approach speed < 60 km/h) 750 (approach speed 60 - 80 km/h) 900 (approach speed > 80 km/h) Legend 'Safer Speed Area' 100/20 Upper case, 75/",
RS55,Safer Speed Area Threshold,Regulatory Signs,SAFER_SPEED_AREA_THRESHOLD_VAR2_RS55.svg,900x1500 mm,"a 750 (approach speed < 60 km/h) 900 (approach speed 60 - 80 km/h) 1200 (approach speed > 80 km/h) b 1200 (approach speed < 60 km/h) 1500 (approach speed 60 - 80 km/h) 1900 (approach speed > 80 km/h) r 60 60 60 c 30 30 30 d 46 57 70 Legend 'R1-1' Diameter 600 (approach speed < 60 km/h) 750 (approach speed 60 - 80 km/h) 900 (approach speed > 80 km/h) Legend 'Safer Speed Area' 100/20 Upper case, 75/",
RS55,Safer Speed Area Threshold,Regulatory Signs,SAFER_SPEED_AREA_THRESHOLD_VAR3_RS55.svg,750x1200 mm,"a 750 (approach speed < 60 km/h) 900 (approach speed 60 - 80 km/h) 1200 (approach speed > 80 km/h) b 1200 (approach speed < 60 km/h) 1500 (approach speed 60 - 80 km/h) 1900 (approach speed > 80 km/h) r 60 60 60 c 30 30 30 d 46 57 70 Legend 'R1-1' Diameter 600 (approach speed < 60 km/h) 750 (approach speed 60 - 80 km/h) 900 (approach speed > 80 km/h) Legend 'Safer Speed Area' 100/20 Upper case, 75/",
RL61,Signal bypass lane – do not stop for signals,Regulatory Signs,SIGNAL_BYPASS_LANE_DO_NOT_STOP_FOR_SIGNALS_RL61.svg,600x1300 mm,a : 600 b : 1300 r : 50 c : 10 d : 15 type TRANSIT LANE 80E with -80 tracking type DO NOT STOP FOR SIGNALS 80E with -80 tracking e : 70 f : 36 symbol T3 wxh 195 x 130 symbol car wxh 175 x 150 symbol truck wxh 320 x 160,
RL62,Signal bypass lane – signals do not apply,Regulatory Signs,SIGNAL_BYPASS_LANE_SIGNALS_DO_NOT_APPLY_RL62.svg,600x1300 mm,a : 600 b : 1300 r : 50 c : 10 d : 15 type 80E with -80 tracking e : 40 f : 80 symbol T3 wxh 195 x 130 symbol car wxh 175 x 150 symbol truck wxh 320 x 160 g : 135 h : 40 Arrow: Type E,
RS1C,Speed limit changeable – black figures on white (R) background,Regulatory Signs,SPEED_LIMIT_CHANGEABLE_BLACK_FIGURES_ON_WHITE_R_BACKGROUND_RS1C.svg,800x800 mm,a: 800 b: 800 r: c: 600 d: 90 e: 90 Numeral 200D,
RS1V,Speed limit variable – white or yellow figures on black background,Regulatory Signs,SPEED_LIMIT_VARIABLE_WHITE_OR_YELLOW_FIGURES_ON_BLACK_BACKGROUND_RS1V.svg,800x800 mm,a : 800 b : 800 c : 600 d : 90 e : 90 Numeral 200D,
RP62,Stop Here on Red Signal,Regulatory Signs,STOP_HERE_ON_RED_SIGNAL_RP62.svg,450x750 mm,a : 450 b : 750 r : 50 c : 10 d : 20 e : 50 Text Line 1 & 2 : 120C Text Line 3 & 4 : 100C,
none,"Supplementary - except ""class"" or ""description"" of vehicle",Regulatory Signs,SUPPLEMENTARY_EXCEPT_CLASS_OR_DESCRIPTION_OF_VEHICLE_none.svg,600x400 mm,a 600 b 400 r 50 c 10 d 20 e 50 Legend Type 100D,
RST3,Temporary speed limit for unsafe structure Option A,Regulatory Signs,TEMPORARY_SPEED_LIMIT_FOR_UNSAFE_STRUCTURE_OPTION_A_RST3.svg,798x794 mm,a: 750 b: 95 r: 50 c: 900 d: 450 e: 65 f: 25 Numerals: 900 mm roundel 300D Legend: 120D,
RST3,Temporary speed limit for unsafe structure Option A,Regulatory Signs,TEMPORARY_SPEED_LIMIT_FOR_UNSAFE_STRUCTURE_OPTION_A_BLACK_RST3.svg,999x504 mm,a: 750 b: 95 r: 50 c: 900 d: 450 e: 65 f: 25 Numerals: 900 mm roundel 300D Legend: 120D,1 stroked path(s) ignored
RST3B,Temporary speed limit for unsafe structure Option B,Regulatory Signs,TEMPORARY_SPEED_LIMIT_FOR_UNSAFE_STRUCTURE_OPTION_B_RST3B.svg,1200x1200 mm,a: 1200 b: 900 c: 95 d: 30 e: 10 f: 1200 g: 600 h: 65 i: 25 r: 50 r2: 60 Numerals: 900 mm roundel 300D Legend: 160D,1 stroked path(s) ignored
RST3B,Temporary speed limit for unsafe structure Option B,Regulatory Signs,TEMPORARY_SPEED_LIMIT_FOR_UNSAFE_STRUCTURE_OPTION_B_BLACK_RST3B.svg,1299x648 mm,a: 1200 b: 900 c: 95 d: 30 e: 10 f: 1200 g: 600 h: 65 i: 25 r: 50 r2: 60 Numerals: 900 mm roundel 300D Legend: 160D,1 stroked path(s) ignored
RLT1,Transit Lane - Single peak period,Regulatory Signs,TRANSIT_LANE_SINGLE_PEAK_PERIOD_RLT1.svg,600x700 mm,a : 600 b : 700 r : 60 c : 10 d : 15 e : 30 f : 40 Type TRANSIT LANE 80E Type HOURS 80E Type MINS 40E Type AM PM 30E Type DAYS 40E symbol T3 wxh 195 x 130 symbol car wxh 175 x 150,
RLT3,Transit Lane - two periods different days horizontal,Regulatory Signs,TRANSIT_LANE_TWO_PERIODS_DIFFERENT_DAYS_HORIZONTAL_RLT3.svg,900x800 mm,a : 900 b : 800 r : 60 c : 10 d : 15 e : 30 f : 60 Type TRANSIT LANE 80E symbol T3 wxh 195 x 130 symbol car wxh 175 x 150 Type HOURS 80E Type MINS 40E Type AM PM 30E Type DAYS 40E,
RLT4,Transit Lane - two periods different days vertical,Regulatory Signs,TRANSIT_LANE_TWO_PERIODS_DIFFERENT_DAYS_VERTICAL_RLT4.svg,600x900 mm,a : 600 b : 900 r : 60 c : 10 d : 15 e : 40 f : 20 g : 60 Type TRANSIT LANE 75E symbol T3 wxh 195 x 130 symbol car wxh 175 x 150 Type HOURS MINS 50e Type AM PM 30E Type DAYS 50E,
RLT2,Transit Lane - two periods same day,Regulatory Signs,TRANSIT_LANE_TWO_PERIODS_SAME_DAY_RLT2.svg,650x850 mm,a : 650 b : 850 r : 60 c : 10 d : 15 e : 30 f : 50 Type TRANSIT LANE 80E symbol T3 wxh 195 x 130 symbol car wxh 175 x 150 Type HOURS 80E Type MINS 40E Type AM PM 30E Type DAYS 40E,
RLT6,Transit plus one other class LANE (eg Transit + Heavy vehicles),Regulatory Signs,TRANSIT_PLUS_ONE_OTHER_CLASS_LANE_EG_TRANSIT_HEAVY_VEHICLES_RLT6.svg,600x899 mm,a : 600 b : 900 r : 60 c : 10 d : 15 e : 120 f : 60 Type 80E symbol T3 wxh 195 x 130 symbol car wxh 175 x 150 symbol truck wxh 320 x 160,
RD6T,Truck mounted attenuator display (diagonal lit arrow above RD6 disc),Regulatory Signs,TRUCK_MOUNTED_ATTENUATOR_DISPLAY_DIAGONAL_LIT_ARROW_ABOVE_RD6_DISC_RD6T.svg,3038x4155 mm,a : 2200 b : 3600 c : 500 d : 360 e : 150 f : 1500,drawn width 3038 mm vs register 2200 mm — check
RD6T,Truck mounted attenuator display (diagonal lit arrow above RD6 disc),Regulatory Signs,TRUCK_MOUNTED_ATTENUATOR_DISPLAY_DIAGONAL_LIT_ARROW_ABOVE_RD6_DISC_VAR2_RD6T.svg,2200x3600 mm,a : 2200 b : 3600 c : 500 d : 360 e : 150 f : 1500,
RD6T,Truck mounted attenuator display (diagonal lit arrow above RD6 disc),Regulatory Signs,TRUCK_MOUNTED_ATTENUATOR_DISPLAY_DIAGONAL_LIT_ARROW_ABOVE_RD6_DISC_VAR3_RD6T.svg,2200x3600 mm,a : 2200 b : 3600 c : 500 d : 360 e : 150 f : 1500,
none,Use Left Lane Unless Passing,Regulatory Signs,USE_LEFT_LANE_UNLESS_PASSING_none.svg,750x700 mm,a : 750 b : 700 r : 50 c : 10 d : 25 type 100C e : 50,
RD41,Wrong way – go back,Regulatory Signs,WRONG_WAY_GO_BACK_RD41.svg,900x1200 mm,Ty a : 900 b : 1200 r : 60 c : 35 d : 100 Type : 150D Stripe w x h 750 x 25,
RS52,blue Threshold option A rural/urban,Regulatory Signs,BLUE_THRESHOLD_OPTION_A_RURAL_URBAN_RS52.svg,1900x2700 mm,a : 1900 b : 2700 r : 150 c : 1200 d : 200 e : 100 f : 250 WELCOME TO 100D LOCALITY 160E,1 stroked path(s) ignored
RS51,blue Threshold option A urban/urban,Regulatory Signs,BLUE_THRESHOLD_OPTION_A_URBAN_URBAN_RS51.svg,900x1200 mm,a : 900 b : 1200 r : 80 c : 600 d : 100 e : 110 f : 140 Type : 75E Numerals : 200D,1 stroked path(s) ignored
RS52,green Threshold option A rural/urban,Regulatory Signs,GREEN_THRESHOLD_OPTION_A_RURAL_URBAN_RS52.svg,1900x2700 mm,a : 1900 b : 2700 r : 150 c : 1200 d : 200 e : 100 f : 250 WELCOME TO 100D LOCALITY 160E,1 stroked path(s) ignored
RS51,green Threshold option A urban/urban,Regulatory Signs,GREEN_THRESHOLD_OPTION_A_URBAN_URBAN_RS51.svg,900x1200 mm,a: 900 b: 1200 r: 80 c: 600 d: 75 e: 110 f: 140 g: 25 Type: 75E Numerals: 200D,1 stroked path(s) ignored
RS52,white Threshold option B rural/urban,Regulatory Signs,WHITE_THRESHOLD_OPTION_B_RURAL_URBAN_RS52.svg,1900x2700 mm,a : 1900 b : 2700 r : 150 c : 1200 d : 200 e : 100 f : 250 WELCOME TO 100D LOCALITY 160E,1 stroked path(s) ignored
RS51B,white Threshold option B urban/urban,Regulatory Signs,WHITE_THRESHOLD_OPTION_B_URBAN_URBAN_RS51B.svg,900x1200 mm,a : 900 b : 1200 r : 80 c : 600 d : 100 e : 110 f : 140 Type : 75E Numerals : 200D,1 stroked path(s) ignored
WXB1,Controlled intersection immediately beyond level crossing,Permanent Warning Signs,CONTROLLED_INTERSECTION_IMMEDIATELY_BEYOND_LEVEL_CROSSING_WXB1.svg,1028x1028 mm,Arrow Type : A r : 50 l : 70 k : 10 j : 20 i : 177.5 h : 365 g : 63 f : 31 e : 138 d : 125 c : 313 b : 120 a : 750,
WX62,Crossbuck for private level crossing,Permanent Warning Signs,CROSSBUCK_FOR_PRIVATE_LEVEL_CROSSING_WX62.svg,750x500 mm,a 750 b 500 c 15 r 50 Crossbuck symbol w x h - specs as per sign WX61 570 x 400,
WX63,Crossbuck for private level crossing with [number] of tracks,Permanent Warning Signs,CROSSBUCK_FOR_PRIVATE_LEVEL_CROSSING_WITH_NUMBER_OF_TRACKS_WX63.svg,750x750 mm,a : 750 b : 750 c : 15 d : 105 r : 50 Crossbuck symbol w x h : specs as per sign WX61 570 x 400 2 Tracks symbol w x h : specs as per sign WX7 350 x 280,
none,Distance ahead supplementary,Permanent Warning Signs,DISTANCE_AHEAD_SUPPLEMENTARY_none.svg,600x250 mm,a 600 b 250 r 50 c 10 d 15 e 65 Legend Distance 100D Legend 'm' Transport D Medium x height = 65,
WY21,"Edge marker post, orange, no reflector",Permanent Warning Signs,EDGE_MARKER_POST_ORANGE_NO_REFLECTOR_WY21.svg,90x900 mm,a : 900 b : 90 c : 150,
WY22,"Edge marker post, orange, white reflector",Permanent Warning Signs,EDGE_MARKER_POST_ORANGE_WHITE_REFLECTOR_WY22.svg,90x900 mm,a : 900 b : 90 c : 150 d : 450 e : 40,
WY23,"Edge marker post, orange, yellow reflector",Permanent Warning Signs,EDGE_MARKER_POST_ORANGE_YELLOW_REFLECTOR_WY23.svg,90x900 mm,a : 900 b : 90 c : 150 d : 130 e : 40,
none,Intersection sign supplementary - concealed,Permanent Warning Signs,INTERSECTION_SIGN_SUPPLEMENTARY_CONCEALED_none.svg,750x300 mm,a 750 b 300 c 10 d 20 Legend Type 125C -20 em tracking,
WV29,"Overdimension ""Over Size""",Permanent Warning Signs,OVERDIMENSION_OVER_SIZE_WV29.svg,1100x300 mm,a : 1100 b : 300 c : 20 r : 60 Text 150C,
WV30,"Overdimension ""Over” “Size"" – split panel option",Permanent Warning Signs,OVERDIMENSION_OVER_SIZE_SPLIT_PANEL_OPTION_WV30.svg,550x300 mm,a : 550 b : 300 c : 20 r : 60 Text 150C,
WV30,"Overdimension ""Over” “Size"" – split panel option",Permanent Warning Signs,OVERDIMENSION_OVER_SIZE_SPLIT_PANEL_OPTION_VAR2_WV30.svg,550x300 mm,a : 550 b : 300 c : 20 r : 60 Text 150C,
WA7,Prepare to stop - variable,Permanent Warning Signs,PREPARE_TO_STOP_VARIABLE_WA7.svg,1675x950 mm,a : 1675 b : 950 c : 60 d : 90 Type : 175D,
WA6,Ramp signal OFF variable,Permanent Warning Signs,RAMP_SIGNAL_OFF_VARIABLE_WA6.svg,1675x950 mm,a : 1675 b : 950 c : 60 d : 90 Type : 175D,
