code,file,drawn_size_mm,legend,check,intervene,notes
R9-SA54A,Regulatory Signs/EMERGENCY_MAINTENANCE_VEHICLES_EXCEPTED_WHITE_SQUARE_R9-SA54A.svg,450x450,EMERGENCY & MAINTENANCE VEHICLES EXCEPTED,width &: 45.0 vs drawing 38,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. R9-SA54A (450 x 450) illustrated (B 600, C 750), R50, 6 / 18. Four lines 45 C, stack 60/45/50/45/50/45/50/45/60: tops 60, 155, 250, 345. Widths: EMERGENCY 291, gap 35, & 38 (43/291/35/38/43); MAINTENANCE 337 (56/337/57); VEHICLES 232 (109/232/109); EXCEPTED 239 (105/239/106). Width check: the sheet's & is 38 wide (and is drawn 38 on the sheet); the FHWA Series C ampersand at 45 is 45 — kept as the sheet states, generated 45."
R9-SA55-1A,Regulatory Signs/TO_DUNROBIN_ROAD_WHITE_LONG_R9-SA55-1A.svg,450x300,"TO (road name, two lines)",ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. R9-SA55-1A (450 x 300) illustrated (B 600 x 400, C 750 x 500), R50, 6 / 18. TO 45 E (186/78/186); road name two lines 50 'E>C', max. dimension 360. '= offset' / '= gap' measured on the drawing: TO top 46, lines 121.5 and 201 (bottom 48) -> offset 47, gap 30 (47+45+30+50+30+50+48 = 300). Road name DUNROBIN ROAD is the sheet's example (grey), drawn black. Only used with R2-6."
R9-SA55-2A,Regulatory Signs/TO_WEST_LAKES_BOULEVARD_WHITE_SQUARE_R9-SA55-2A.svg,450x450,"TO (road name, three lines)",ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. R9-SA55-2A (450 x 450) illustrated (B 600, C 750), R50, 6 / 18. TO 45 E (186/78/186); road name three lines 50 'E>C', max. dimension 360; offsets/gaps resolved on the drawing: tops 60 / 150 / 245 / 340 (offset 60, gap 45). Road name WEST LAKES BOULEVARD is the sheet's example (grey on the sheet), drawn black. Only used with R2-6."
R9-SA56,Regulatory Signs/SAT-SUN_WHITE_WIDE_R9-SA56.svg,450x150,SAT - SUN,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. R9-SA56 450 x 150 (one size), R25, 6 / 16 (edge 6 + border 10). SAT-SUN 75 C, top 37 (37/75/38), ink 366 (42/366/42). The dash is a spaced bar, not the AS 1744 hyphen: measured on the sheet SAT 42-181 (139), bar 198-236 (38 wide, y 70-80), SUN 254-409 (155); drawn as two words 73 apart with a 38 x 10 bar at x 198 (SAT and SUN widths are the Series C font's, 139 / 155)."
R9-SA57A,Regulatory Signs/8-9_AM_3-4_PM_SCHOOL_DAYS_WHITE_SQUARE_R9-SA57A.svg,450x450,8 - 9 AM 3 - 4 PM SCHOOL DAYS,width 9: 67.2 vs drawing 74; width AM: 80.1 vs drawing 72; width 4: 74.4 vs drawing 67; width PM: 72.5 vs drawing 80,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. R9-SA57A (450 x 450) illustrated (B 600, C 900, D 1200), 4 / 12 (edge 4 + border 8); corner radius not stated on the sheet, drawn as the other 450 squares (R50). Laid out like the national R9-1-2 (times of operation). Line 1 120 C top 40 (band 160): 48|67|46|30|41|74|23|72|49, dash 30 x 12 at y 94-106; AM 45 D on the numeral baseline (top 115), right at 401. Line 2 120 C top 200 (band 160-320): 48|67|46|30|41|67|23|80|48, dash y 254-266; PM 45 D top 275, right at 402. SCHOOL DAYS 45 C top 360 (band 320-405, 45 below): 50|194|35|120|51. Times are the sheet's example (8-9 AM, 3-4 PM); other times are lettered to order. Width check: the sheet's line-1 figures 74 (9) and 72 (AM) and line-2 figures 67 (4) and 80 (PM) are exchanged relative to AS 1744 (9 = 67, 4 = 74, AM = 80, PM = 73, as the national R9-1-2 dimensions them) — the sheet's figures are kept as expect, generated with the font widths."
RM4-SA12A,Speed Signs/End/END_25_MMS_WHITE_SQUARE_RM4-SA12A.svg,600x600,END 25,width END: 339.7 vs drawing 311,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. RM4-SA12A 600 x 600 multi-message-frame module (1:10 sheet, 2024): black border 25, no white edge, square corners. END 120 E top 40 (baseline 160), ink 311 (145/311/144). Black ring centred (300, 370): outer R180 (370 + 180 + 50 = 600), inner R155 (ring 25). Speed numerals 160 C ('varies'; the sheet says Series C for these two-numeral values, so C is used rather than the R4-1 rule's D), vertical band 160-450 -> top 290, centred. Values drawn on the sheet: 25, 40, 60 (60 shown in the ring). White class 400. Multi-message frames only. Width check: END 120 E is 340 in the FHWA Series E font; the sheet states 311 and draws it about 308 (E 82, N 89, D 87 wide, gaps 21 / 28 — neither Series D (287) nor E). Kept as the sheet's 311, generated in E at 340, still centred."
RM4-SA12A,Speed Signs/End/END_40_MMS_WHITE_SQUARE_RM4-SA12A.svg,600x600,END 40,width END: 339.7 vs drawing 311,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. RM4-SA12A 600 x 600 multi-message-frame module (1:10 sheet, 2024): black border 25, no white edge, square corners. END 120 E top 40 (baseline 160), ink 311 (145/311/144). Black ring centred (300, 370): outer R180 (370 + 180 + 50 = 600), inner R155 (ring 25). Speed numerals 160 C ('varies'; the sheet says Series C for these two-numeral values, so C is used rather than the R4-1 rule's D), vertical band 160-450 -> top 290, centred. Values drawn on the sheet: 25, 40, 60 (60 shown in the ring). White class 400. Multi-message frames only. Width check: END 120 E is 340 in the FHWA Series E font; the sheet states 311 and draws it about 308 (E 82, N 89, D 87 wide, gaps 21 / 28 — neither Series D (287) nor E). Kept as the sheet's 311, generated in E at 340, still centred."
RM4-SA12A,Speed Signs/End/END_60_MMS_WHITE_SQUARE_RM4-SA12A.svg,600x600,END 60,width END: 339.7 vs drawing 311,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. RM4-SA12A 600 x 600 multi-message-frame module (1:10 sheet, 2024): black border 25, no white edge, square corners. END 120 E top 40 (baseline 160), ink 311 (145/311/144). Black ring centred (300, 370): outer R180 (370 + 180 + 50 = 600), inner R155 (ring 25). Speed numerals 160 C ('varies'; the sheet says Series C for these two-numeral values, so C is used rather than the R4-1 rule's D), vertical band 160-450 -> top 290, centred. Values drawn on the sheet: 25, 40, 60 (60 shown in the ring). White class 400. Multi-message frames only. Width check: END 120 E is 340 in the FHWA Series E font; the sheet states 311 and draws it about 308 (E 82, N 89, D 87 wide, gaps 21 / 28 — neither Series D (287) nor E). Kept as the sheet's 311, generated in E at 340, still centred."
RM9-9A,Regulatory Signs/ONE_LANE_MMS_WHITE_SQUARE_RM9-9A.svg,600x600,ONE LANE,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. RM9-9A 600 x 600 multi-message-frame module (1:10 sheet, 2020): black border 25, no white edge, square corners. ONE / LANE 100 E, chain 265/170/165 (baselines): tops 165, 335. Widths ONE 289 (155/289/156), LANE 384 (108/384/108). White class 1. To be used in multi-message sign frames only."
RM9-SA109A,Regulatory Signs/HEAVY_VEHICLES_EXCEPTED_MMS_WHITE_SQUARE_RM9-SA109A.svg,600x600,HEAVY VEHICLES EXCEPTED,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. RM9-SA109A 600 x 600 multi-message-frame module (1:10 sheet, 2020; titled 'guide sign' but an RM9 auxiliary): black border 25, no white edge, square corners. HEAVY 90 D, VEHICLES 90 C, EXCEPTED 90 C; chain 185/160/160/95: tops 95, 255, 415. Widths HEAVY 380 (110/380/110), VEHICLES 465 (65/465/70), EXCEPTED 480 (60/480/60). Multi-message frames only."
RM9-SA110A,Regulatory Signs/CONSTRUCTION_VEHICLES_EXCEPTED_MMS_WHITE_SQUARE_RM9-SA110A.svg,600x600,CONSTRUCTION VEHICLES EXCEPTED,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. RM9-SA110A 600 x 600 multi-message-frame module (1:10 sheet, 2026): black border 25, no white edge, square corners. CONSTRUCTION 60 C, VEHICLES 60 D, EXCEPTED 60 D; chain 170/160/160/110 (baselines): tops 110, 270, 430. Widths CONSTRUCTION 485 (55/485/60), VEHICLES 365 (115/365/120), EXCEPTED 375 (110/375/115). White class 400. Multi-message frames only."
RM9-SA2A,Regulatory Signs/BUSES_EXCEPTED_MMS_WHITE_SQUARE_RM9-SA2A.svg,600x600,BUSES EXCEPTED,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. RM9-SA2A 600 x 600 multi-message-frame module (1:10 sheet, 2020): black border 25, no white edge, square corners. BUSES 90 D, EXCEPTED 90 C; chain 260/170/170 (baselines): tops 170, 340. Widths BUSES 355 (125/355/120), EXCEPTED 480 (60/480/60). Multi-message frames only."
R4-SA100,Speed Signs/Normal Speed Signs/25_LINE_MARKING_WHITE_YELLOW_WIDE_R4-SA100.svg,1200x450,25 LINE MARKING,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. R4-SA100 1200 x 450 (1:10 sheet, 2016), square corners, no radius stated. Left half 450 x 450 white class 1 with the red annulus: outer R223, inner R178 (chain 2/223/225: 2 margin, centre x 225; 178 = inner radius), centre (225, 225); speed numerals 180 D centred (135/180/135). Right half 750 x 450: black border 20 round a yellow class 1 panel (x 450-1200): LINE 120 D baseline 195 (top 75), ink 325 (210/325/215 from the divide, centred on 825), MARKING 120 C baseline 375 (top 255), ink 565 (90/565/95). Sheet note: vehicle-mounted frames for mobile work sites only; only 25, 40 or 60 displayed -> generated at 25, 40, 60."
R4-SA100,Speed Signs/Normal Speed Signs/40_LINE_MARKING_WHITE_YELLOW_WIDE_R4-SA100.svg,1200x450,40 LINE MARKING,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. R4-SA100 1200 x 450 (1:10 sheet, 2016), square corners, no radius stated. Left half 450 x 450 white class 1 with the red annulus: outer R223, inner R178 (chain 2/223/225: 2 margin, centre x 225; 178 = inner radius), centre (225, 225); speed numerals 180 D centred (135/180/135). Right half 750 x 450: black border 20 round a yellow class 1 panel (x 450-1200): LINE 120 D baseline 195 (top 75), ink 325 (210/325/215 from the divide, centred on 825), MARKING 120 C baseline 375 (top 255), ink 565 (90/565/95). Sheet note: vehicle-mounted frames for mobile work sites only; only 25, 40 or 60 displayed -> generated at 25, 40, 60."
R4-SA100,Speed Signs/Normal Speed Signs/60_LINE_MARKING_WHITE_YELLOW_WIDE_R4-SA100.svg,1200x450,60 LINE MARKING,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. R4-SA100 1200 x 450 (1:10 sheet, 2016), square corners, no radius stated. Left half 450 x 450 white class 1 with the red annulus: outer R223, inner R178 (chain 2/223/225: 2 margin, centre x 225; 178 = inner radius), centre (225, 225); speed numerals 180 D centred (135/180/135). Right half 750 x 450: black border 20 round a yellow class 1 panel (x 450-1200): LINE 120 D baseline 195 (top 75), ink 325 (210/325/215 from the divide, centred on 825), MARKING 120 C baseline 375 (top 255), ink 565 (90/565/95). Sheet note: vehicle-mounted frames for mobile work sites only; only 25, 40 or 60 displayed -> generated at 25, 40, 60."
R4-SA101,Speed Signs/End/END_25_WHITE_WIDE_R4-SA101.svg,1200x450,END 25,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. R4-SA101 1200 x 450 (1:10 sheet, 2016), square corners, white class 1, no border. END 180 E, baseline 315 (top 135), ink 510 from x 120 (120/510/570). Black annulus outer R223 / inner R178, centre (975, 225) (975/223/2 chain, 178 inner radius); speed numerals 180 D centred in it (135/180/135). Vehicle-mounted frames for mobile work sites only; 25, 40 or 60 -> generated at 25, 40, 60."
R4-SA101,Speed Signs/End/END_40_WHITE_WIDE_R4-SA101.svg,1200x450,END 40,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. R4-SA101 1200 x 450 (1:10 sheet, 2016), square corners, white class 1, no border. END 180 E, baseline 315 (top 135), ink 510 from x 120 (120/510/570). Black annulus outer R223 / inner R178, centre (975, 225) (975/223/2 chain, 178 inner radius); speed numerals 180 D centred in it (135/180/135). Vehicle-mounted frames for mobile work sites only; 25, 40 or 60 -> generated at 25, 40, 60."
R4-SA101,Speed Signs/End/END_60_WHITE_WIDE_R4-SA101.svg,1200x450,END 60,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. R4-SA101 1200 x 450 (1:10 sheet, 2016), square corners, white class 1, no border. END 180 E, baseline 315 (top 135), ink 510 from x 120 (120/510/570). Black annulus outer R223 / inner R178, centre (975, 225) (975/223/2 chain, 178 inner radius); speed numerals 180 D centred in it (135/180/135). Vehicle-mounted frames for mobile work sites only; 25, 40 or 60 -> generated at 25, 40, 60."
R4-SA102,Speed Signs/Normal Speed Signs/25_9_30_AM_-_4_PM_WHITE_TALL_R4-SA102.svg,450x650,25 9.30 AM - 4 PM,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. R4-SA102 450 x 650 (2017; sheet says 1:10 but is drawn 1:5), R50, white, no border. Red annulus: 30 top margin, ring 30 wide (chain 30/30/280/130/150/30 = 650): outer dia 440 (R220, 5 side margins), inner R190, centre (225, 250); speed numerals 180 D, baseline 340 (60 + 280), top 160, centred. Times line in the 150 band (470-620): 9 and 4 100 D, 30 50 D, AM and PM 40 D, '395 max.' wide and centred ('=' margins) — the sheet gives no horizontal positions, so they are measured on the drawing (1:5, +-1 mm): 9 x 29-97, 30 x 108-187 top-aligned with the 9 (top 520), AM under it on the baseline 620 (top 580) right-aligned at 187, dash 30 x 12 at x 215 y 564, 4 x 272-346, PM x 356-420 (top 580). Numerals top 520, baseline 620 (30 below). Times are the sheet's example ('Times may vary ... specify when ordering'). Speed 40 shown; generated at 25, 40, 50, 60."
R4-SA102,Speed Signs/Normal Speed Signs/40_9_30_AM_-_4_PM_WHITE_TALL_R4-SA102.svg,450x650,40 9.30 AM - 4 PM,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. R4-SA102 450 x 650 (2017; sheet says 1:10 but is drawn 1:5), R50, white, no border. Red annulus: 30 top margin, ring 30 wide (chain 30/30/280/130/150/30 = 650): outer dia 440 (R220, 5 side margins), inner R190, centre (225, 250); speed numerals 180 D, baseline 340 (60 + 280), top 160, centred. Times line in the 150 band (470-620): 9 and 4 100 D, 30 50 D, AM and PM 40 D, '395 max.' wide and centred ('=' margins) — the sheet gives no horizontal positions, so they are measured on the drawing (1:5, +-1 mm): 9 x 29-97, 30 x 108-187 top-aligned with the 9 (top 520), AM under it on the baseline 620 (top 580) right-aligned at 187, dash 30 x 12 at x 215 y 564, 4 x 272-346, PM x 356-420 (top 580). Numerals top 520, baseline 620 (30 below). Times are the sheet's example ('Times may vary ... specify when ordering'). Speed 40 shown; generated at 25, 40, 50, 60."
